frame_index,estimator,unified_memory_score,evidence_confidence,intent_state,intent_confidence,intent_score,mode,appearance_score,appearance_weight,appearance_contribution,semantic_score,semantic_weight,semantic_contribution,geometry_score,geometry_weight,geometry_contribution,intent_weight,intent_contribution
9,depth,0.749411611321033,0.7882733000055555,Turn Right,0.598958320915699,0.401041679084301,weighted,0.8430583501006036,0.27637603790948695,0.23300112652731395,0.6599723696708679,0.21635578206135267,0.14278883817902477,0.9484141580760479,0.31091435993136285,0.2948755809080568,0.19635382009779748,0.07874606570663746
12,depth,0.5587322651600677,0.8563663314902519,Turn Right,1.0,0.0,weighted,0.7727272727272727,0.22998996034605146,0.17771951481285794,0.6918412446975708,0.205915522914274,0.1424608516755625,0.8952619358897209,0.26646045040949035,0.2385518986716473,0.29763406633018424,0.0
15,depth,0.7694641554893927,0.8073236515022534,Turn Right,0.598958320915699,0.401041679084301,weighted,0.9082446808510638,0.2900673019172311,0.26345208405514475,0.6988619565963745,0.22319646504568902,0.15598351826722454,0.9250865876674652,0.29544612391572306,0.27331324661277534,0.1912901091213568,0.07671530655424809
18,depth,0.6224836902905643,0.9025276312625563,Walk,1.0,0.0,weighted,0.8898305084745762,0.2491916423903319,0.2217383258558038,0.7454792857170105,0.20876695708517728,0.15563144204917176,0.9355583935976028,0.2619974595524988,0.2451139223855887,0.28004394097199203,0.0
21,depth,0.5872412241021375,0.87709236688989,Walk,1.0,0.0,weighted,0.8594104308390023,0.24910109550239956,0.21408007980818466,0.6895793080329895,0.19987535047614963,0.13782990587419452,0.9010570347309113,0.2611724112336983,0.2353312384197583,0.28985114278775254,0.0
24,depth,0.5941813534555165,0.8832126925515537,Backward,1.0,0.0,weighted,0.852112676056338,0.2462872678212711,0.20986450286178734,0.6673122644424438,0.19287415738700844,0.1287072907183529,0.9404074884951115,0.27180723569568327,0.2556095598753763,0.2890313390960372,0.0
27,depth,0.5200679202518622,0.8336100892111528,Backward,1.0,0.0,weighted,0.7092511013215859,0.2223801286451356,0.15772335115359837,0.5664446353912354,0.17760427957592245,0.10060299138830642,0.9136679247021675,0.2864734228196514,0.26174157770995743,0.31354216895929055,0.0
30,depth,0.6984242520402342,0.925153881993583,Viewpoint Locomotion,0.9428090696799624,0.057190930320037636,weighted,0.9454545454545454,0.2567312163263602,0.24272769543583145,0.8125764727592468,0.2206491546448379,0.17929431179861197,0.9818228892982006,0.2666067721588915,0.26176063134750993,0.2560128568699105,0.014641613458280819
33,depth,0.6389498332441792,0.9157062202985919,Viewpoint Locomotion,1.0,0.0,weighted,0.8906048906048906,0.2464805918168,0.21951682051122984,0.7354115843772888,0.20352985309021984,0.1496782117291554,0.9872696017846465,0.2732331680385675,0.26975480100379395,0.2767563870544127,0.0
36,depth,0.6609200852128637,0.9309989568797048,Viewpoint Locomotion,1.0,0.0,weighted,0.9060283687943262,0.24469911954212023,0.22170434412415504,0.8196349740028381,0.22136608895736717,0.1814393885676816,0.9769587609916925,0.26385591983367146,0.25777635252102704,0.27007887166684114,0.0
39,depth,0.7127852033355824,0.8548115038370188,Turn Right,0.80078125,0.19921875,weighted,0.8804243008678881,0.25957696157233145,0.2285378649137306,0.7554940581321716,0.22274357023378724,0.1682814437987723,0.9550663456320763,0.2815837998278572,0.2689312106907856,0.23609566836602414,0.04703468393229387
42,depth,0.555937666841285,0.8577315242134242,Walk,1.0,0.0,weighted,0.7539267015706806,0.22753044744286943,0.17154127974750366,0.6101803183555603,0.18414867196908452,0.11236389528684963,0.949413038790226,0.2865270232159068,0.2720324918069317,0.3017938573721393,0.0
45,depth,0.612284615907857,0.8961137717657146,Walk,1.0,0.0,weighted,0.8578811369509044,0.24349167892715431,0.2088869183561117,0.7012500762939453,0.19903521719976872,0.1395734612465198,0.9641150049865246,0.2736439480152194,0.26382423630522556,0.28382915585785756,0.0
48,depth,0.6110907394526999,0.8948578040563939,Viewpoint Locomotion,1.0,0.0,weighted,0.8416289592760181,0.23882657925921758,0.20100336534938673,0.7188422679901123,0.2039837603006161,0.1466321488876463,0.9635459147393703,0.2734225958364723,0.2634552252156669,0.283767064603694,0.0
51,depth,0.6686758029421955,0.9374361880179078,Turn Left,1.0,0.0,weighted,0.9620967741935483,0.2585734995123587,0.24877272977277734,0.7902522683143616,0.21238850393912295,0.16784049700178563,0.9684374108910561,0.26027761147280604,0.2520625761676325,0.2687603850757123,0.0
54,depth,0.7616244746193412,0.7998462736333157,Turn Right,0.598958320915699,0.401041679084301,weighted,0.8727272727272727,0.2813913585760906,0.2455779129391336,0.6880161762237549,0.22183540333846072,0.15262634595598212,0.9417697079479694,0.3036525451498082,0.2859707687633925,0.1931206929356405,0.07744944696083297
57,depth,0.5760121171883471,0.8716977759609208,Turn Right,1.0,0.0,weighted,0.7728395061728395,0.22851755850818656,0.17660739706928985,0.6370474100112915,0.18836578309855057,0.11999793425768035,0.9720829911530018,0.28743099962068924,0.2794067858613769,0.29568565877257363,0.0
60,depth,0.6913023903458119,0.7327938340502845,Turn Right,0.598958320915699,0.401041679084301,weighted,0.752112676056338,0.26324645938393004,0.1979909990296037,0.6203237175941467,0.2171190933581659,0.13468412315260808,0.8856719210743904,0.30999344223408937,0.274552487503929,0.20964100502381472,0.08407478065967104
63,depth,0.6642332968787483,0.9334957911499709,Walk,1.0,0.0,weighted,0.9125939849624061,0.24572733264789207,0.22424928571532257,0.8238950371742249,0.22184403272721345,0.1827761975906675,0.9773590676486492,0.26316614035367186,0.2572078135727583,0.2692624942712226,0.0
66,depth,0.5948049291872528,0.8851971327845936,Walk,1.0,0.0,weighted,0.8412162162162162,0.24428263072884412,0.20549451030906143,0.6326932311058044,0.18372918158193616,0.11624420954350025,0.9697091747075319,0.2815959840918789,0.27306620933469117,0.2903922035973408,0.0
69,depth,0.6438244896627668,0.9179354343095308,Backward,1.0,0.0,weighted,0.8962536023054755,0.24567292157101903,0.22018524094693634,0.8020651340484619,0.2198548315622573,0.17633789494818392,0.9498391337692738,0.2603613022199597,0.2473013537676466,0.274110944646764,0.0
72,depth,0.6658057711862042,0.934998221023944,Backward,1.0,0.0,weighted,0.935,0.25169494059828673,0.2353347694593981,0.8025854825973511,0.21604995226458565,0.17339855520340713,0.9772289581596851,0.26306265729938777,0.257072446523399,0.2691924498377398,0.0
75,depth,0.6674924598460605,0.9005393866333378,Viewpoint Locomotion,0.9428090696799624,0.057190930320037636,weighted,0.8938547486033519,0.24948249401426134,0.2230011119680548,0.7892365455627441,0.2202826600875041,0.1738551256948339,0.9569351859390736,0.26708878279285314,0.25558665402411973,0.26314606310538147,0.015049568159052099
78,depth,0.5888046176839841,0.8797438612390203,Viewpoint Locomotion,1.0,0.0,weighted,0.7719298245614035,0.22458467923546654,0.17336361204141276,0.6886247396469116,0.20034796084615625,0.13796456237647398,0.9765891768038273,0.28412811636334107,0.27747644326609733,0.29093924355503625,0.0
81,depth,0.5845814521450348,0.8760578140075397,Viewpoint Locomotion,1.0,0.0,weighted,0.8453038674033149,0.24638609593902353,0.20827111977166077,0.6621114015579224,0.19298982247378732,0.12778076184453394,0.9233946725726128,0.26914771972468415,0.24852957052884006,0.291476361862505,0.0
84,depth,0.6193163706754732,0.77679834591849,Turn Right,0.80078125,0.19921875,weighted,0.752112676056338,0.245877682126777,0.18492772148689987,0.6203237175941467,0.20279376043768366,0.1257977793796007,0.8856719210743904,0.28954033884974534,0.2564377481375839,0.26178821858579404,0.05215312167138866
87,depth,0.5922279106961309,0.8829633810268152,Walk,1.0,0.0,weighted,0.8557213930348259,0.24878856167600835,0.21289369456852456,0.6330460906028748,0.1840489528924277,0.11651147010810402,0.9507853128015995,0.2764270151008797,0.26282274601950234,0.2907354703306842,0.0
90,depth,0.5660419563545009,0.8640094375391522,Walk,1.0,0.0,weighted,0.8088235294117647,0.24100310978170322,0.1949289858528482,0.6179088950157166,0.18411675704942415,0.11376738190228682,0.9293384999036789,0.27691265198422144,0.25734558859936585,0.2979674811846512,0.0
93,depth,0.5344774540701688,0.842590357538365,Viewpoint Locomotion,1.0,0.0,weighted,0.7338709677419355,0.22611511464198272,0.16593931800339054,0.592281699180603,0.18248963400561238,0.10808527051169046,0.9194108545780182,0.2832823478842087,0.2604528655550878,0.3081129034681962,0.0
96,depth,0.5908728759234683,0.8793636836425949,Turn Left,1.0,0.0,weighted,0.8584392014519057,0.2476518186046223,0.21259402940106414,0.7074977159500122,0.20410658753385622,0.14440494449055452,0.9003780335187912,0.25975078614239494,0.23387390203184963,0.2884908077191266,0.0
99,depth,0.7345894867675584,0.7737685482178362,Turn Right,0.598958320915699,0.401041679084301,weighted,0.8455882352941176,0.2794692593811308,0.23631591785904443,0.6972905397415161,0.23045645928038386,0.16069510887853758,0.8838560953736305,0.29211689338091357,0.2581892967763294,0.1979573879575717,0.07938916325364694
102,depth,0.5154068901213663,0.8295881045319724,Turn Right,1.0,0.0,weighted,0.6564885496183206,0.2062563697657414,0.1354049450370516,0.6139137148857117,0.1928801564861195,0.11841177339613101,0.9124742224812508,0.28668225933753294,0.26159017168818366,0.31418121441060615,0.0
105,depth,0.7549548704414565,0.7933015625588611,Turn Right,0.598958320915699,0.401041679084301,weighted,0.8845360824742268,0.2861307571518915,0.25309297900651845,0.7074977159500122,0.22886218115800763,0.16191947043662833,0.9003780335187912,0.2912553298368916,0.2622399011304074,0.19375173185320926,0.07770251986790229
108,depth,0.5154068901213663,0.8295881045319724,Walk,1.0,0.0,weighted,0.6564885496183206,0.2062563697657414,0.1354049450370516,0.6139137148857117,0.1928801564861195,0.11841177339613101,0.9124742224812508,0.28668225933753294,0.26159017168818366,0.31418121441060615,0.0
111,depth,0.47465787110986585,0.8019455660621378,Walk,1.0,0.0,weighted,0.6384615384615384,0.20896060523875826,0.1334133094985918,0.5692573189735413,0.18631091576156059,0.10605885240193128,0.8476969599723816,0.2774407840474092,0.23518570920934279,0.327287694952272,0.0
114,depth,0.6148777446199564,0.8960223255529136,Backward,1.0,0.0,weighted,0.8900308324768756,0.2502273454141222,0.22271005254740991,0.7800942659378052,0.2193192754852871,0.17108970921570632,0.8867636620998383,0.24930879816763346,0.2210779828568401,0.2811445809329572,0.0
117,depth,0.5800263530536715,0.8708922032985396,Backward,1.0,0.0,weighted,0.8549810844892812,0.24868480008325414,0.21262080007118073,0.7202673554420471,0.20950117674427363,0.15089685853559487,0.8627625852823257,0.25094817292760413,0.21650869444689588,0.29086585024486805,0.0
