frame_index,reference_frame,middle_frame,current_frame,similarity,delete_frame,delete_range,memory_size,matching_points,orb_runtime_ms,lightglue_runtime_ms,runtime_ms,confidence,semantic_similarity,final_similarity,spatial_alpha,average_displacement,median_displacement,maximum_displacement,depth_runtime_ms,geometry_similarity,depth_difference,depth_metric,depth_cache_hit_reference,depth_cache_hit_current,memory_state,policy,transition,unified_memory_score,geometry_confidence,intent_state,estimator,decision,window_before,window_after,pose_x,pose_z,pose_yaw,pose_pitch,delta_x,delta_z,local_delta_x,local_delta_z,delta_yaw,delta_pitch,movement_magnitude,rotation_magnitude,pose_confidence,pose_delta_position,view_state,view_confidence,view_pose_distance,view_yaw_delta,nearest_view_frame_id,key_anchor_frame_id,key_anchor_type,key_anchor_reason,memory_selection_mode,memory_selection_target,memory_selection_anchor_type,memory_selection_reason,trajectory_motion_state,trajectory_direction,trajectory_frames,trajectory_distance,trajectory_should_progress,trajectory_confidence,revisit_gate_allow_retrieve,revisit_gate_allow_soft_reuse,revisit_gate_force_progress,revisit_gate_protect_current,revisit_gate_reason,selection_is_hard_retrieve,selection_is_soft_reuse,selection_is_progress,view_intent,move_intent,has_view_motion,has_move_motion,action_explanation,use_pose_memory
39,28,31,35,0.9075641855597496,26,26-29,9,225280,0.0,0.0,193.90053488314152,0.9075641855597496,0.9075641855597496,0.9075641855597496,0.0,0.0,0.0,0.0,193.90053488314152,0.9075641855597496,0.0924358144402504,l1,False,False,INSERT,physmem_rule,trajectory_forward_progress|trajectory_progress_bypasses_insert_hysteresis|view=Novel View|selection=progress_anchor|trajectory=Progressing:forward|prev=INSERT,0.6112048183922476,0.9075641855597496,Walk,depth,physmem_insert,0 26 28 29 30 31 32 33 34,0 28 30 31 32 33 34 35 36,0.006292609233547686,2.3541262116750987,1.862645149230957e-09,0.0,-0.33333334140479565,1.0000000006208818,-0.3333333432674408,1.0,0.0,0.0,1.0540925565309005,0.0,1.0,1.0540925565309005,Novel View,0.5,1.0540925565309003,0.0,33,,,,progress_anchor,,,trajectory_forward_progress,Progressing,forward,3,3.1081851130618006,True,1.0,False,False,True,False,trajectory_forward_progress,False,False,True,None,Walk,False,True,locomotion,True
42,30,33,37,0.9016364887356758,28,28-31,9,225280,0.0,0.0,192.14173313230276,0.9016364887356758,0.9016364887356758,0.9016364887356758,0.0,0.0,0.0,0.0,192.14173313230276,0.9016364887356758,0.09836351126432419,l1,False,False,INSERT,physmem_rule,trajectory_forward_progress|trajectory_progress_bypasses_insert_hysteresis|view=Novel View|selection=progress_anchor|trajectory=Progressing:forward|prev=INSERT,0.5179978371653013,0.9016364887356758,Viewpoint Locomotion,depth,physmem_insert,0 28 30 31 32 33 34 35 36,0 30 32 33 34 35 36 37 38,0.652807514202795,3.3672712894344508,-0.04003906063735485,0.0,0.6465149049692474,1.013145077759352,0.6666666865348816,1.0,-0.0400390625,0.0,1.2018504361755662,0.0400390625,1.0,1.2018504361755662,Novel View,0.5,1.2018504361755662,0.0400390625,35,,,,progress_anchor,,,trajectory_forward_progress,Progressing,forward,4,4.310035549237367,True,1.0,False,False,True,False,trajectory_forward_progress,False,False,True,Turn Left,Walk,True,True,viewpoint_locomotion,True
45,32,35,39,0.9817410223186016,30,30-33,9,225280,0.0,0.0,191.57710997387767,0.9817410223186016,0.9817410223186016,0.9817410223186016,0.0,0.0,0.0,0.0,191.57710997387767,0.9817410223186016,0.01825897768139839,l1,False,False,INSERT,physmem_rule,trajectory_forward_progress|trajectory_progress_bypasses_insert_hysteresis|view=Novel View|selection=progress_anchor|trajectory=Progressing:forward|prev=INSERT,0.5782594152984225,0.9817410223186016,Viewpoint Locomotion,depth,physmem_insert,0 30 32 33 34 35 36 37 38,0 32 34 35 36 37 38 39 40,0.6327893220316694,4.36707090534866,1.862645149230957e-09,0.0,-0.020018192171125698,0.9997996159142091,0.0,1.0,0.0400390625,0.0,1.0,0.0400390625,1.0,1.0,Novel View,0.5,1.0000000000000002,0.0400390625,37,39,forward_anchor,trajectory_forward_progress,progress_anchor,,,trajectory_forward_progress,Progressing,forward,5,5.310035549237367,True,1.0,False,False,True,False,trajectory_forward_progress,False,False,True,Turn Right,Walk,True,True,viewpoint_locomotion,True
48,34,37,41,0.9705933332443237,32,32-35,9,225280,0.0,0.0,184.51485596597195,0.9705933332443237,0.9705933332443237,0.9705933332443237,0.0,0.0,0.0,0.0,184.51485596597195,0.9705933332443237,0.02940666675567627,l1,False,False,INSERT,physmem_rule,trajectory_forward_progress|trajectory_progress_bypasses_insert_hysteresis|view=Novel View|selection=progress_anchor|trajectory=Progressing:forward|prev=INSERT,0.46095854805634606,0.9705933332443237,Walk,depth,physmem_insert,0 32 34 35 36 37 38 39 40,0 34 36 37 38 39 40 41 42,0.6327893238943145,5.36707090534866,1.862645149230957e-09,0.0,1.862645149230957e-09,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,Novel View,0.5,1.0,0.0,39,,,,progress_anchor,,,trajectory_forward_progress,Progressing,forward,6,6.310035549237367,True,1.0,False,False,True,False,trajectory_forward_progress,False,False,True,None,Walk,False,True,locomotion,True
51,36,39,43,0.9556668139994144,34,34-37,9,225280,0.0,0.0,188.221856020391,0.9556668139994144,0.9556668139994144,0.9556668139994144,0.0,0.0,0.0,0.0,188.221856020391,0.9556668139994144,0.044333186000585556,l1,False,False,INSERT,physmem_rule,trajectory_forward_progress|view=Novel View|selection=progress_anchor|trajectory=Progressing:forward|prev=INSERT,0.44260269284141396,0.9556668139994144,Walk,depth,physmem_insert,0 34 36 37 38 39 40 41 42,0 36 38 39 40 41 42 43 44,-0.3672106742430403,6.367070907211305,1.862645149230957e-09,0.0,-0.9999999981373549,1.0000000018626451,-1.0,1.0,0.0,0.0,1.4142135623730951,0.0,1.0,1.4142135623730951,Novel View,0.5,1.4142135623730951,0.0,41,,,,progress_anchor,,,trajectory_forward_progress,Progressing,forward,7,7.724249111610462,True,1.0,False,False,True,False,trajectory_forward_progress,False,False,True,None,Walk,False,True,locomotion,True
54,38,41,45,0.958175465464592,36,36-39,9,225280,0.0,0.0,175.57258578017354,0.958175465464592,0.958175465464592,0.958175465464592,0.0,0.0,0.0,0.0,175.57258578017354,0.958175465464592,0.04182453453540802,l1,False,False,INSERT,physmem_rule,trajectory_forward_progress|view=Novel View|selection=progress_anchor|trajectory=Progressing:forward|prev=INSERT,0.4485579028359774,0.958175465464592,Walk,depth,physmem_insert,0 36 38 39 40 41 42 43 44,0 38 40 41 42 43 44 45 46,0.6327893276196048,7.36707090534866,1.862645149230957e-09,0.0,1.0000000018626451,0.9999999981373549,1.0,1.0,0.0,0.0,1.4142135623730951,0.0,1.0,1.4142135623730951,Novel View,0.5,1.4142135623730951,0.0,43,45,forward_anchor,trajectory_forward_progress,progress_anchor,,,trajectory_forward_progress,Progressing,forward,8,9.138462673983557,True,1.0,False,False,True,False,trajectory_forward_progress,False,False,True,None,Walk,False,True,locomotion,True
57,40,43,47,0.9435929507017136,41,41-42-43,9,225280,0.0,0.0,181.2031497247517,0.9435929507017136,0.9435929507017136,0.9435929507017136,0.0,0.0,0.0,0.0,181.2031497247517,0.9435929507017136,0.05640704929828644,l1,False,False,KEEP,physmem_rule,view_revisit_retrieve_memory|view=Revisit|selection=current_window|trajectory=Starting:left|prev=INSERT,0.549276560905211,0.9435929507017136,Left,depth,physmem_keep,0 38 40 41 42 43 44 45 46,0 38 40 44 45 46 47 48 49,0.29945598435216403,7.367070905969542,1.862645149230957e-09,0.0,-0.3333333432674408,6.208817349140361e-10,-0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0,1.0,0.3333333432674408,Revisit,0.7777777711550394,0.3333333432674408,0.0,45,,,,current_window,,,view_state=Revisit,Starting,left,1,0.3333333432674408,False,0.75,False,False,False,False,revisit_blocked_by_motion:0.3333,False,False,False,None,Left,False,True,lateral_motion,True
60,40,46,50,0.9034609869122505,44,44-45-46,9,225280,0.0,0.0,158.62927306443453,0.9034609869122505,0.9034609869122505,0.9034609869122505,0.0,0.0,0.0,0.0,158.62927306443453,0.9034609869122505,0.09653901308774948,l1,True,False,KEEP,physmem_rule,view_revisit_retrieve_memory|view=Revisit|selection=current_window|trajectory=Starting:right|prev=KEEP,0.5551614923115785,0.9034609869122505,Viewpoint Locomotion,depth,physmem_keep,0 38 40 44 45 46 47 48 49,0 38 40 47 48 49 50 51 52,0.6321915879204952,7.387024247841716,-0.11979166232049465,0.0,0.3327356035683312,0.019953341872174398,0.3333333432674408,0.0,-0.1197916641831398,0.0,0.3333333432674408,0.1197916641831398,1.0,0.3333333432674408,Revisit,0.8155608553731541,0.019962293690683336,0.1197916641831398,45,,,,current_window,,,view_state=Revisit,Starting,right,1,0.3333333432674408,False,0.75,False,False,False,False,revisit_blocked_by_motion:0.3333,False,False,False,Turn Left,Right,True,True,viewpoint_locomotion,True
63,40,49,53,0.9550151526927948,47,47-48-49,9,225280,0.0,0.0,177.25911689922214,0.9550151526927948,0.9550151526927948,0.9550151526927948,0.0,0.0,0.0,0.0,177.25911689922214,0.9550151526927948,0.0449848473072052,l1,True,False,KEEP,physmem_rule,selection_protect_current|view=View Transition|selection=protect_current|trajectory=Idle:none|prev=KEEP,0.5284959300173182,0.9550151526927948,Turn Left,depth,physmem_keep,0 38 40 47 48 49 50 51 52,0 38 40 50 51 52 53 54 55,0.6321915879204952,7.387024247841716,-0.29947916232049465,0.0,0.0,0.0,0.0,0.0,-0.1796875,0.0,0.0,0.1796875,1.0,0.0,View Transition,0.5989583333333334,0.0,0.1796875,50,,,,protect_current,,,view_transition,Idle,none,0,0.0,False,0.0,False,False,False,True,view_transition,False,False,False,Turn Left,None,True,False,viewpoint_change,True
66,40,52,56,0.9675709195435047,50,50-51-52,9,225280,0.0,0.0,166.02175636216998,0.9675709195435047,0.9675709195435047,0.9675709195435047,0.0,0.0,0.0,0.0,166.02175636216998,0.9675709195435047,0.032429080456495285,l1,True,False,KEEP,physmem_rule,view_revisit_retrieve_memory|view=Revisit|selection=current_window|trajectory=Starting:left|prev=KEEP,0.6168497270034045,0.9675709195435047,Viewpoint Locomotion,depth,physmem_keep,0 38 40 50 51 52 53 54 55,0 38 40 53 54 55 56 57 58,-0.010405645784525741,7.209504485082601,-0.23958333022892475,0.0,-0.642597233705021,-0.17751976275911557,-0.6666666865348816,0.0,0.0598958320915699,0.0,0.6666666865348816,0.0598958320915699,1.0,0.6666666865348816,Revisit,0.4259897595402765,0.3476225062076498,0.2395833320915699,47,,,,current_window,,,view_state=Revisit,Starting,left,1,0.6666666865348816,False,0.75,False,False,False,False,revisit_blocked_by_motion:0.6667,False,False,False,Turn Right,Left,True,True,viewpoint_locomotion,True
