frame_index,intent_state,intent_confidence,rotation_speed,movement_speed,view_intent,move_intent,has_view_motion,has_move_motion,action_explanation,keyboard_vector,mouse_vector,pose_x,pose_z,pose_yaw,pose_pitch,delta_x,delta_z,local_delta_x,local_delta_z,delta_yaw,delta_pitch,pose_movement_magnitude,pose_rotation_magnitude,pose_confidence
69,Viewpoint Locomotion,1.0,0.0598958320915699,0.7453560147132695,Turn Left,Right,True,True,viewpoint_locomotion,0.000000 0.000000 0.333333 0.666667,0.000000 -0.059896,0.310893,7.298264,-0.299479,0.000000,0.321299,0.088760,0.333333,0.000000,-0.059896,0.000000,0.333333,0.059896,1.000000
72,Viewpoint Locomotion,1.0,0.0598958320915699,0.7453560147132695,Turn Left,Right,True,True,viewpoint_locomotion,0.000000 0.000000 0.333333 0.666667,0.000000 -0.059896,0.626302,7.406098,-0.359375,0.000000,0.315409,0.107834,0.333333,0.000000,-0.059896,0.000000,0.333333,0.059896,1.000000
75,Turn Right,1.0,0.1796875,0.0,Turn Right,None,True,False,viewpoint_change,0.000000 0.000000 0.000000 0.000000,0.000000 0.179688,0.626302,7.406098,-0.179687,0.000000,0.000000,0.000000,0.000000,0.000000,0.179688,0.000000,0.000000,0.179688,1.000000
78,Turn Right,1.0,0.1796875,0.0,Turn Right,None,True,False,viewpoint_change,0.000000 0.000000 0.000000 0.000000,0.000000 0.179688,0.626302,7.406098,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.179688,0.000000,0.000000,0.179688,1.000000
81,Viewpoint Locomotion,1.0,0.0400390625,0.7453560147132695,Turn Left,Backward,True,True,viewpoint_locomotion,0.333333 0.666667 0.000000 0.000000,0.000000 -0.040039,0.632975,7.072831,-0.040039,0.000000,0.006673,-0.333267,0.000000,-0.333333,-0.040039,0.000000,0.333333,0.040039,1.000000
84,Viewpoint Locomotion,1.0,0.0400390625,1.0,Turn Right,Walk,True,True,viewpoint_locomotion,1.000000 0.000000 0.000000 0.000000,0.000000 0.040039,0.612957,8.072631,0.000000,0.000000,-0.020018,0.999800,0.000000,1.000000,0.040039,0.000000,1.000000,0.040039,1.000000
87,Walk,1.0,0.0,1.201850436175566,None,Walk,False,True,locomotion,1.000000 0.000000 0.666667 0.000000,0.000000 0.000000,-0.053710,9.072631,0.000000,0.000000,-0.666667,1.000000,-0.666667,1.000000,0.000000,0.000000,1.201850,0.000000,1.000000
90,Walk,1.0,0.0,1.2472191421996568,None,Walk,False,True,locomotion,1.000000 0.000000 0.333333 0.666667,0.000000 0.000000,0.279623,10.072631,0.000000,0.000000,0.333333,1.000000,0.333333,1.000000,0.000000,0.000000,1.054093,0.000000,1.000000
93,Viewpoint Locomotion,1.0,0.080078125,1.0540925565309005,Turn Left,Walk,True,True,viewpoint_locomotion,1.000000 0.000000 0.000000 0.333333,0.000000 -0.080078,0.572661,11.085172,-0.080078,0.000000,0.293038,1.012541,0.333333,1.000000,-0.080078,0.000000,1.054093,0.080078,1.000000
96,Viewpoint Locomotion,1.0,0.080078125,1.0,Turn Right,Walk,True,True,viewpoint_locomotion,1.000000 0.000000 0.000000 0.000000,0.000000 0.080078,0.532633,12.084371,0.000000,0.000000,-0.040028,0.999199,0.000000,1.000000,0.080078,0.000000,1.000000,0.080078,1.000000
99,Walk,1.0,0.0,1.0540925565309005,None,Walk,False,True,locomotion,1.000000 0.000000 0.333333 0.000000,0.000000 0.000000,0.199300,13.084371,0.000000,0.000000,-0.333333,1.000000,-0.333333,1.000000,0.000000,0.000000,1.054093,0.000000,1.000000
102,Walk,1.0,0.0,1.2472191421996568,None,Walk,False,True,locomotion,1.000000 0.000000 0.666667 0.333333,0.000000 0.000000,-0.134034,14.084371,0.000000,0.000000,-0.333333,1.000000,-0.333333,1.000000,0.000000,0.000000,1.054093,0.000000,1.000000
105,Walk,1.0,0.0,1.0000000298023224,None,Walk,False,True,locomotion,0.666667 0.000000 0.333333 0.666667,0.000000 0.000000,0.199300,14.751038,0.000000,0.000000,0.333333,0.666667,0.333333,0.666667,0.000000,0.000000,0.745356,0.000000,1.000000
108,Right,1.0,0.0,0.7453560147132695,None,Right,False,True,lateral_motion,0.000000 0.000000 0.333333 0.666667,0.000000 0.000000,0.532633,14.751038,0.000000,0.000000,0.333333,-0.000000,0.333333,0.000000,0.000000,0.000000,0.333333,0.000000,1.000000
111,Turn Left,1.0,0.1796875,0.0,Turn Left,None,True,False,viewpoint_change,0.000000 0.000000 0.000000 0.000000,0.000000 -0.179688,0.532633,14.751038,-0.179687,0.000000,0.000000,0.000000,0.000000,0.000000,-0.179688,0.000000,0.000000,0.179688,1.000000
114,Turn Left,1.0,0.1796875,0.0,Turn Left,None,True,False,viewpoint_change,0.000000 0.000000 0.000000 0.000000,0.000000 -0.179688,0.532633,14.751038,-0.359375,0.000000,0.000000,0.000000,0.000000,0.000000,-0.179688,0.000000,0.000000,0.179688,1.000000
117,Viewpoint Locomotion,1.0,0.0598958320915699,0.7453560147132695,Turn Right,Left,True,True,viewpoint_locomotion,0.000000 0.000000 0.666667 0.333333,0.000000 0.059896,0.217224,14.643204,-0.299479,0.000000,-0.315409,-0.107834,-0.333333,0.000000,0.059896,0.000000,0.333333,0.059896,1.000000
