frame_index,estimator,unified_memory_score,evidence_confidence,intent_state,intent_confidence,intent_score,mode,appearance_score,appearance_weight,appearance_contribution,semantic_score,semantic_weight,semantic_contribution,geometry_score,geometry_weight,geometry_contribution,intent_weight,intent_contribution
9,depth,0.6408009702777251,0.9164923574606725,Viewpoint Locomotion,1.0,0.0,weighted,0.8736318407960199,0.24085277407624653,0.21041665237705914,0.7683377861976624,0.21182411010190835,0.16275246781899014,0.9852746268734336,0.27163172863889773,0.2676318500816757,0.27569138718294733,0.0
12,depth,0.6384602886258905,0.915675955722541,Turn Left,1.0,0.0,weighted,0.9123376623376623,0.2529142936823337,0.23074323546992134,0.7165050506591797,0.19862642559660382,0.1423168371343464,0.9784570131450891,0.27124361362441196,0.2654002160216227,0.27721566709665046,0.0
15,depth,0.7259136837113567,0.797534252835173,Viewpoint Locomotion,0.6666666865348816,0.3333333134651184,weighted,0.8026315789473685,0.2586821486176656,0.20762646139049476,0.6558215618133545,0.21136637925729593,0.13861862895935362,0.9776515979319811,0.3150897903670977,0.30804803704444605,0.21486168175794068,0.07162055631706216
18,depth,0.5167159362178023,0.8320052395898838,Viewpoint Locomotion,1.0,0.0,weighted,0.6394557823129252,0.20161356814269155,0.1289229619415851,0.5986537933349609,0.18874913746163383,0.11299538713010907,0.93358064442873,0.29434799102359316,0.27479758714610814,0.31528930337208144,0.0
21,depth,0.5971683845651219,0.8862783571589296,Viewpoint Locomotion,1.0,0.0,weighted,0.8568904593639576,0.24773557722260905,0.21228225256707667,0.6459588408470154,0.1867531427740084,0.12063484363083563,0.9560421071946621,0.2764013074095749,0.26425128836720957,0.28910997259380766,0.0
24,depth,0.6850977129160747,0.7610127199729712,Viewpoint Locomotion,0.6666666865348816,0.3333333134651184,weighted,0.7393617021276596,0.2525788821186039,0.18674715220471247,0.5612168312072754,0.19172148008824474,0.10759732152949346,0.9600054509937763,0.3279546437717809,0.3148382456996318,0.22774499402137044,0.07591499348223699
27,depth,0.5668091145323452,0.8625550835419709,Turn Right,1.0,0.0,weighted,0.8097982708933718,0.2394945743276796,0.19394229217889902,0.6717466115951538,0.19866635257514142,0.1334534491803194,0.8997353538870811,0.2660931040875533,0.23941337317312672,0.2957459690096257,0.0
30,depth,0.5637274156312334,0.861633685166383,Viewpoint Locomotion,1.0,0.0,weighted,0.808868501529052,0.24096699783500625,0.1949106144567558,0.6324453949928284,0.18840944830699763,0.11915868795489999,0.9154466092586517,0.2727172843228466,0.24965811321957757,0.29790626953514954,0.0
33,depth,0.5531675417483075,0.8534417882942393,Viewpoint Locomotion,1.0,0.0,weighted,0.7992073976221928,0.23998139915493888,0.19179490949635142,0.6403011083602905,0.19226593287541127,0.12310808992005105,0.8907804265618324,0.26747842142371797,0.23826454233190508,0.3002742465459318,0.0
36,depth,0.5369321587323959,0.8462097805573081,Walk,1.0,0.0,weighted,0.7125382262996942,0.2203721280893106,0.1570235652746464,0.5707259178161621,0.17651275457602295,0.10074040386165967,0.9500768072903156,0.2938374955097543,0.2791681895960898,0.30927762182491225,0.0
39,depth,0.6035403787191946,0.889569586937303,Walk,1.0,0.0,weighted,0.837696335078534,0.23960561944972433,0.200716749277256,0.7005743384361267,0.20038472332081045,0.14038439497318306,0.9578757733106613,0.27398044901135676,0.26243923446875556,0.28602920821810845,0.0
42,depth,0.6159852014337752,0.9011347079490677,Viewpoint Locomotion,1.0,0.0,weighted,0.8907435508345979,0.2539950839521649,0.22624448297408317,0.633793830871582,0.18072599810546836,0.11454302267735507,0.9823948666453362,0.2801294114270742,0.27519769578233705,0.2851495065152925,0.0
45,depth,0.6273582176637509,0.9078336180497929,Viewpoint Locomotion,1.0,0.0,weighted,0.8871866295264624,0.2488340251335777,0.22076222006976184,0.6950299739837646,0.19493881023339676,0.13548831620494378,0.983158465474844,0.27575176424698356,0.2711076813890453,0.280475400386042,0.0
48,depth,0.6181637794204037,0.9007086493046585,Walk,1.0,0.0,weighted,0.8539445628997868,0.2412776554128872,0.20603774198904334,0.7039569616317749,0.19889942812836525,0.14001663709554157,0.981359338387847,0.2772780465744927,0.27210940033581876,0.2825448698842549,0.0
51,depth,0.607403719159647,0.8935618701601199,Walk,1.0,0.0,weighted,0.8362989323843416,0.23931375617477274,0.20013783879384908,0.673755407333374,0.1928006015890888,0.12990044785777607,0.9845167445018888,0.28172749123566554,0.2773654325080218,0.2861581510004729,0.0
