frame_index,intent_state,intent_confidence,rotation_speed,movement_speed,keyboard_vector,mouse_vector,pose_x,pose_z,pose_yaw,pose_pitch,delta_x,delta_z,delta_yaw,delta_pitch,pose_movement_magnitude,pose_rotation_magnitude,pose_confidence
69,Turn Left,0.598958320915699,0.0598958320915699,0.7453560147132695,0.000000 0.000000 0.333333 0.666667,0.000000 -0.059896,0.333333,7.333333,-0.299479,0.000000,0.333333,0.000000,-0.059896,0.000000,0.333333,0.059896,0.598958
72,Turn Left,0.598958320915699,0.0598958320915699,0.7453560147132695,0.000000 0.000000 0.333333 0.666667,0.000000 -0.059896,0.666667,7.333333,-0.359375,0.000000,0.333333,0.000000,-0.059896,0.000000,0.333333,0.059896,0.598958
75,Turn Right,1.0,0.1796875,0.0,0.000000 0.000000 0.000000 0.000000,0.000000 0.179688,0.666667,7.333333,-0.179687,0.000000,0.000000,0.000000,0.179688,0.000000,0.000000,0.179688,1.000000
78,Turn Right,1.0,0.1796875,0.0,0.000000 0.000000 0.000000 0.000000,0.000000 0.179688,0.666667,7.333333,0.000000,0.000000,0.000000,0.000000,0.179688,0.000000,0.000000,0.179688,1.000000
81,Turn Left,0.400390625,0.0400390625,0.7453560147132695,0.333333 0.666667 0.000000 0.000000,0.000000 -0.040039,0.666667,7.000000,-0.040039,0.000000,0.000000,-0.333333,-0.040039,0.000000,0.333333,0.040039,0.400391
84,Turn Right,0.400390625,0.0400390625,1.0,1.000000 0.000000 0.000000 0.000000,0.000000 0.040039,0.666667,8.000000,0.000000,0.000000,0.000000,1.000000,0.040039,0.000000,1.000000,0.040039,1.000000
87,Walk,1.0,0.0,1.201850436175566,1.000000 0.000000 0.666667 0.000000,0.000000 0.000000,0.000000,9.000000,0.000000,0.000000,-0.666667,1.000000,0.000000,0.000000,1.201850,0.000000,1.000000
90,Walk,1.0,0.0,1.2472191421996568,1.000000 0.000000 0.333333 0.666667,0.000000 0.000000,0.333333,10.000000,0.000000,0.000000,0.333333,1.000000,0.000000,0.000000,1.054093,0.000000,1.000000
93,Turn Left,0.80078125,0.080078125,1.0540925565309005,1.000000 0.000000 0.000000 0.333333,0.000000 -0.080078,0.666667,11.000000,-0.080078,0.000000,0.333333,1.000000,-0.080078,0.000000,1.054093,0.080078,1.000000
96,Turn Right,0.80078125,0.080078125,1.0,1.000000 0.000000 0.000000 0.000000,0.000000 0.080078,0.666667,12.000000,0.000000,0.000000,0.000000,1.000000,0.080078,0.000000,1.000000,0.080078,1.000000
99,Walk,1.0,0.0,1.0540925565309005,1.000000 0.000000 0.333333 0.000000,0.000000 0.000000,0.333333,13.000000,0.000000,0.000000,-0.333333,1.000000,0.000000,0.000000,1.054093,0.000000,1.000000
102,Walk,1.0,0.0,1.2472191421996568,1.000000 0.000000 0.666667 0.333333,0.000000 0.000000,0.000000,14.000000,0.000000,0.000000,-0.333333,1.000000,0.000000,0.000000,1.054093,0.000000,1.000000
105,Walk,1.0,0.0,1.0000000298023224,0.666667 0.000000 0.333333 0.666667,0.000000 0.000000,0.333333,14.666667,0.000000,0.000000,0.333333,0.666667,0.000000,0.000000,0.745356,0.000000,1.000000
108,Right,1.0,0.0,0.7453560147132695,0.000000 0.000000 0.333333 0.666667,0.000000 0.000000,0.666667,14.666667,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.333333,0.000000,1.000000
111,Turn Left,1.0,0.1796875,0.0,0.000000 0.000000 0.000000 0.000000,0.000000 -0.179688,0.666667,14.666667,-0.179687,0.000000,0.000000,0.000000,-0.179688,0.000000,0.000000,0.179688,1.000000
114,Turn Left,1.0,0.1796875,0.0,0.000000 0.000000 0.000000 0.000000,0.000000 -0.179688,0.666667,14.666667,-0.359375,0.000000,0.000000,0.000000,-0.179688,0.000000,0.000000,0.179688,1.000000
117,Turn Right,0.598958320915699,0.0598958320915699,0.7453560147132695,0.000000 0.000000 0.666667 0.333333,0.000000 0.059896,0.333333,14.666667,-0.299479,0.000000,-0.333333,0.000000,0.059896,0.000000,0.333333,0.059896,0.598958
