frame_index,memory_state,decision,policy,transition,unified_memory_score,geometry_confidence,intent_state,delete_frame,memory_size
9,KEEP,physmem_keep,physmem_rule,action_mode_view_rotation_protect|mode=Viewpoint Locomotion|turn=TurnStart|view=Novel View|selection=protect_current|trajectory=Starting:right|prev=KEEP,0.6557532177009044,0.9852470951154828,Viewpoint Locomotion,3,9
12,KEEP,physmem_keep,physmem_rule,selection_loop_closure_soft_reuse_anchor|mode=View Rotation Only|turn=TurnInProgress|view=View Transition|selection=soft_reuse_anchor|trajectory=Idle:none|prev=KEEP,0.6410883074755385,0.9785992968827486,Turn Left,6,9
15,KEEP,physmem_keep,physmem_rule,selection_loop_closure_soft_reuse_anchor|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Known View|selection=soft_reuse_anchor|trajectory=Starting:left|prev=KEEP,0.7428764910887367,0.9777262173593044,Viewpoint Locomotion,9,9
18,KEEP,physmem_keep,physmem_rule,selection_loop_closure_soft_reuse_anchor|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Known View|selection=soft_reuse_anchor|trajectory=Starting:right|prev=KEEP,0.5109737452874621,0.9336401149630547,Viewpoint Locomotion,12,9
21,KEEP,physmem_keep,physmem_rule,selection_loop_closure_soft_reuse_anchor|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Known View|selection=soft_reuse_anchor|trajectory=Starting:left|prev=KEEP,0.5319177289874315,0.9453524500131607,Viewpoint Locomotion,15,9
24,KEEP,physmem_keep,physmem_rule,selection_loop_closure_hard_retrieve_anchor|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Revisit|selection=hard_retrieve_anchor|trajectory=Starting:right|prev=KEEP,0.6574577201303191,0.9458209313452244,Viewpoint Locomotion,18,9
27,KEEP,physmem_keep,physmem_rule,selection_loop_closure_soft_reuse_anchor|mode=View Rotation Only|turn=TurnInProgress|view=View Transition|selection=soft_reuse_anchor|trajectory=Idle:none|prev=KEEP,0.5296861688934956,0.9499628245830536,Turn Right,21,9
30,KEEP,physmem_keep,physmem_rule,selection_loop_closure_hard_retrieve_anchor|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Revisit|selection=hard_retrieve_anchor|trajectory=Starting:backward|prev=KEEP,0.5084265409056961,0.9337360262870789,Viewpoint Locomotion,24,9
33,KEEP,physmem_keep,physmem_rule,selection_loop_closure_soft_reuse_anchor|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Known View|selection=soft_reuse_anchor|trajectory=Starting:forward|prev=KEEP,0.4883988205157469,0.9297498315572739,Viewpoint Locomotion,27,9
36,INSERT,physmem_insert,physmem_rule,action_mode_locomotion_orb_insert|mode=Locomotion Only|turn=PostTurnStabilization|view=Novel View|selection=orb_locomotion|trajectory=Progressing:forward|prev=KEEP,0.4678533329633515,0.89850252866745,Walk,0,9
39,KEEP,physmem_keep,physmem_rule,action_mode_locomotion_orb_keep|mode=Locomotion Only|turn=PostTurnStabilization|view=Novel View|selection=orb_locomotion|trajectory=Progressing:forward|prev=INSERT,0.6008561085134354,0.9303456097841263,Walk,33,9
42,INSERT,physmem_insert,physmem_rule,action_mode_view_rotation_protect|trajectory_forward_blocks_pullback|mode=Viewpoint Locomotion|turn=TurnStart|view=Novel View|selection=protect_current|trajectory=Progressing:forward|prev=KEEP,0.5825905974458085,0.9343306049704552,Viewpoint Locomotion,31,9
45,INSERT,physmem_insert,physmem_rule,turn_in_progress_soft_insert|trajectory_progress_bypasses_insert_hysteresis|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Novel View|selection=turn_transition|trajectory=Progressing:forward|prev=INSERT,0.6201604704662498,0.980170039460063,Viewpoint Locomotion,30,9
48,KEEP,physmem_keep,physmem_rule,action_mode_locomotion_orb_keep|mode=Locomotion Only|turn=PostTurnStabilization|view=Novel View|selection=orb_locomotion|trajectory=Progressing:forward|prev=INSERT,0.5903977635380895,0.9620487466454506,Walk,40,9
51,INSERT,physmem_insert,physmem_rule,action_mode_locomotion_orb_insert|mode=Locomotion Only|turn=PostTurnStabilization|view=Novel View|selection=orb_locomotion|trajectory=Progressing:forward|prev=KEEP,0.5464318723547148,0.9430761635303497,Walk,32,9
54,KEEP,physmem_keep,physmem_rule,action_mode_locomotion_orb_keep|mode=Locomotion Only|turn=StableNewView|view=Novel View|selection=orb_locomotion|trajectory=Progressing:forward|prev=INSERT,0.5530892423563947,0.9102961793541908,Walk,46,9
57,INSERT,physmem_insert,physmem_rule,action_mode_locomotion_orb_insert|mode=Locomotion Only|turn=StableNewView|view=Known View|selection=orb_locomotion|trajectory=Starting:left|prev=KEEP,0.5258738629402356,0.9093577489256859,Left,43,9
60,KEEP,physmem_keep,physmem_rule,action_mode_view_rotation_protect|mode=Viewpoint Locomotion|turn=TurnStart|view=Known View|selection=protect_current|trajectory=Starting:right|prev=INSERT,0.6142182437608792,0.9833228439092636,Viewpoint Locomotion,52,9
63,KEEP,physmem_keep,physmem_rule,selection_loop_closure_soft_reuse_anchor|mode=View Rotation Only|turn=TurnInProgress|view=View Transition|selection=soft_reuse_anchor|trajectory=Idle:none|prev=KEEP,0.5992909994013367,0.9795443341135979,Turn Left,55,9
66,KEEP,physmem_keep,physmem_rule,selection_loop_closure_soft_reuse_anchor|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Known View|selection=soft_reuse_anchor|trajectory=Starting:left|prev=KEEP,0.6028823846740028,0.9789334237575531,Viewpoint Locomotion,58,9
69,KEEP,physmem_keep,physmem_rule,selection_loop_closure_hard_retrieve_anchor|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Revisit|selection=hard_retrieve_anchor|trajectory=Starting:right|prev=KEEP,0.48965131528194694,0.8697422742843628,Viewpoint Locomotion,61,9
72,INSERT,physmem_insert,physmem_rule,selection_loop_closure_hard_retrieve_anchor|trajectory_right_blocks_pullback|mode=Viewpoint Locomotion|turn=TurnInProgress|view=Revisit|selection=hard_retrieve_anchor|trajectory=Progressing:right|prev=KEEP,0.4175295895519233,0.8652208745479584,Viewpoint Locomotion,50,9
75,KEEP,physmem_keep,physmem_rule,selection_loop_closure_soft_reuse_anchor|mode=View Rotation Only|turn=TurnInProgress|view=View Transition|selection=soft_reuse_anchor|trajectory=Idle:none|prev=INSERT,0.5400294741544298,0.9376515746116638,Turn Right,66,9
78,KEEP,physmem_keep,physmem_rule,selection_loop_closure_soft_reuse_anchor|mode=View Rotation Only|turn=TurnInProgress|view=View Transition|selection=soft_reuse_anchor|trajectory=Idle:none|prev=KEEP,0.5398863313322753,0.9481886960566044,Turn Right,69,9
