frame_index,intent_state,intent_confidence,rotation_speed,movement_speed,view_intent,move_intent,has_view_motion,has_move_motion,action_explanation,keyboard_vector,mouse_vector,pose_x,pose_z,pose_yaw,pose_pitch,delta_x,delta_z,delta_yaw,delta_pitch,pose_movement_magnitude,pose_rotation_magnitude,pose_confidence
39,Walk,1.0,0.0,1.2472191421996568,None,Walk,False,True,locomotion,1.000000 0.000000 0.666667 0.333333,0.000000 0.000000,0.000000,2.333333,0.000000,0.000000,-0.333333,1.000000,0.000000,0.000000,1.054093,0.000000,1.000000
42,Viewpoint Locomotion,1.0,0.0400390625,1.201850436175566,Turn Left,Walk,True,True,viewpoint_locomotion,1.000000 0.000000 0.000000 0.666667,0.000000 -0.040039,0.666667,3.333333,-0.040039,0.000000,0.666667,1.000000,-0.040039,0.000000,1.201850,0.040039,1.000000
45,Viewpoint Locomotion,1.0,0.0400390625,1.0,Turn Right,Walk,True,True,viewpoint_locomotion,1.000000 0.000000 0.000000 0.000000,0.000000 0.040039,0.666667,4.333333,0.000000,0.000000,0.000000,1.000000,0.040039,0.000000,1.000000,0.040039,1.000000
48,Walk,1.0,0.0,1.0,None,Walk,False,True,locomotion,1.000000 0.000000 0.000000 0.000000,0.000000 0.000000,0.666667,5.333333,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000
51,Walk,1.0,0.0,1.4142135623730951,None,Walk,False,True,locomotion,1.000000 0.000000 1.000000 0.000000,0.000000 0.000000,-0.333333,6.333333,0.000000,0.000000,-1.000000,1.000000,0.000000,0.000000,1.414214,0.000000,1.000000
54,Walk,1.0,0.0,1.4142135623730951,None,Walk,False,True,locomotion,1.000000 0.000000 0.000000 1.000000,0.000000 0.000000,0.666667,7.333333,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.414214,0.000000,1.000000
57,Left,1.0,0.0,0.7453560147132695,None,Left,False,True,lateral_motion,0.000000 0.000000 0.666667 0.333333,0.000000 0.000000,0.333333,7.333333,0.000000,0.000000,-0.333333,0.000000,0.000000,0.000000,0.333333,0.000000,1.000000
60,Viewpoint Locomotion,1.0,0.1197916641831398,0.3333333432674408,Turn Left,Right,True,True,viewpoint_locomotion,0.000000 0.000000 0.000000 0.333333,0.000000 -0.119792,0.666667,7.333333,-0.119792,0.000000,0.333333,0.000000,-0.119792,0.000000,0.333333,0.119792,1.000000
63,Turn Left,1.0,0.1796875,0.0,Turn Left,None,True,False,viewpoint_change,0.000000 0.000000 0.000000 0.000000,0.000000 -0.179688,0.666667,7.333333,-0.299479,0.000000,0.000000,0.000000,-0.179688,0.000000,0.000000,0.179688,1.000000
66,Viewpoint Locomotion,1.0,0.0598958320915699,0.6666666865348816,Turn Right,Left,True,True,viewpoint_locomotion,0.000000 0.000000 0.666667 0.000000,0.000000 0.059896,0.000000,7.333333,-0.239583,0.000000,-0.666667,0.000000,0.059896,0.000000,0.666667,0.059896,1.000000
69,Viewpoint Locomotion,1.0,0.0598958320915699,0.7453560147132695,Turn Left,Right,True,True,viewpoint_locomotion,0.000000 0.000000 0.333333 0.666667,0.000000 -0.059896,0.333333,7.333333,-0.299479,0.000000,0.333333,0.000000,-0.059896,0.000000,0.333333,0.059896,1.000000
72,Viewpoint Locomotion,1.0,0.0598958320915699,0.7453560147132695,Turn Left,Right,True,True,viewpoint_locomotion,0.000000 0.000000 0.333333 0.666667,0.000000 -0.059896,0.666667,7.333333,-0.359375,0.000000,0.333333,0.000000,-0.059896,0.000000,0.333333,0.059896,1.000000
75,Turn Right,1.0,0.1796875,0.0,Turn Right,None,True,False,viewpoint_change,0.000000 0.000000 0.000000 0.000000,0.000000 0.179688,0.666667,7.333333,-0.179687,0.000000,0.000000,0.000000,0.179688,0.000000,0.000000,0.179688,1.000000
78,Turn Right,1.0,0.1796875,0.0,Turn Right,None,True,False,viewpoint_change,0.000000 0.000000 0.000000 0.000000,0.000000 0.179688,0.666667,7.333333,0.000000,0.000000,0.000000,0.000000,0.179688,0.000000,0.000000,0.179688,1.000000
81,Viewpoint Locomotion,1.0,0.0400390625,0.7453560147132695,Turn Left,Backward,True,True,viewpoint_locomotion,0.333333 0.666667 0.000000 0.000000,0.000000 -0.040039,0.666667,7.000000,-0.040039,0.000000,0.000000,-0.333333,-0.040039,0.000000,0.333333,0.040039,1.000000
84,Viewpoint Locomotion,1.0,0.0400390625,1.0,Turn Right,Walk,True,True,viewpoint_locomotion,1.000000 0.000000 0.000000 0.000000,0.000000 0.040039,0.666667,8.000000,0.000000,0.000000,0.000000,1.000000,0.040039,0.000000,1.000000,0.040039,1.000000
87,Walk,1.0,0.0,1.201850436175566,None,Walk,False,True,locomotion,1.000000 0.000000 0.666667 0.000000,0.000000 0.000000,0.000000,9.000000,0.000000,0.000000,-0.666667,1.000000,0.000000,0.000000,1.201850,0.000000,1.000000
90,Walk,1.0,0.0,1.2472191421996568,None,Walk,False,True,locomotion,1.000000 0.000000 0.333333 0.666667,0.000000 0.000000,0.333333,10.000000,0.000000,0.000000,0.333333,1.000000,0.000000,0.000000,1.054093,0.000000,1.000000
93,Viewpoint Locomotion,1.0,0.080078125,1.0540925565309005,Turn Left,Walk,True,True,viewpoint_locomotion,1.000000 0.000000 0.000000 0.333333,0.000000 -0.080078,0.666667,11.000000,-0.080078,0.000000,0.333333,1.000000,-0.080078,0.000000,1.054093,0.080078,1.000000
96,Viewpoint Locomotion,1.0,0.080078125,1.0,Turn Right,Walk,True,True,viewpoint_locomotion,1.000000 0.000000 0.000000 0.000000,0.000000 0.080078,0.666667,12.000000,0.000000,0.000000,0.000000,1.000000,0.080078,0.000000,1.000000,0.080078,1.000000
99,Walk,1.0,0.0,1.0540925565309005,None,Walk,False,True,locomotion,1.000000 0.000000 0.333333 0.000000,0.000000 0.000000,0.333333,13.000000,0.000000,0.000000,-0.333333,1.000000,0.000000,0.000000,1.054093,0.000000,1.000000
102,Walk,1.0,0.0,1.2472191421996568,None,Walk,False,True,locomotion,1.000000 0.000000 0.666667 0.333333,0.000000 0.000000,0.000000,14.000000,0.000000,0.000000,-0.333333,1.000000,0.000000,0.000000,1.054093,0.000000,1.000000
105,Walk,1.0,0.0,1.0000000298023224,None,Walk,False,True,locomotion,0.666667 0.000000 0.333333 0.666667,0.000000 0.000000,0.333333,14.666667,0.000000,0.000000,0.333333,0.666667,0.000000,0.000000,0.745356,0.000000,1.000000
108,Right,1.0,0.0,0.7453560147132695,None,Right,False,True,lateral_motion,0.000000 0.000000 0.333333 0.666667,0.000000 0.000000,0.666667,14.666667,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.333333,0.000000,1.000000
111,Turn Left,1.0,0.1796875,0.0,Turn Left,None,True,False,viewpoint_change,0.000000 0.000000 0.000000 0.000000,0.000000 -0.179688,0.666667,14.666667,-0.179687,0.000000,0.000000,0.000000,-0.179688,0.000000,0.000000,0.179688,1.000000
114,Turn Left,1.0,0.1796875,0.0,Turn Left,None,True,False,viewpoint_change,0.000000 0.000000 0.000000 0.000000,0.000000 -0.179688,0.666667,14.666667,-0.359375,0.000000,0.000000,0.000000,-0.179688,0.000000,0.000000,0.179688,1.000000
117,Viewpoint Locomotion,1.0,0.0598958320915699,0.7453560147132695,Turn Right,Left,True,True,viewpoint_locomotion,0.000000 0.000000 0.666667 0.333333,0.000000 0.059896,0.333333,14.666667,-0.299479,0.000000,-0.333333,0.000000,0.059896,0.000000,0.333333,0.059896,1.000000
