frame_index,estimator,unified_memory_score,evidence_confidence,intent_state,intent_confidence,intent_score,mode,appearance_score,appearance_weight,appearance_contribution,semantic_score,semantic_weight,semantic_contribution,geometry_score,geometry_weight,geometry_contribution,intent_weight,intent_contribution
9,depth,0.6632043378900621,0.9336711211308599,Viewpoint Locomotion,1.0,0.0,weighted,0.9451645064805583,0.25563560370117283,0.2416176992110786,0.7671531438827515,0.20748944307903272,0.15917617858056116,0.9849940417334437,0.2664081699789967,0.2624104600984222,0.2704667832407978,0.0
12,depth,0.6340427335387393,0.9122629323575907,Turn Left,1.0,0.0,weighted,0.8972972972972973,0.2496462324536721,0.2240068896611328,0.7182690501213074,0.1998369579301777,0.1435367019516404,0.9787089936435223,0.2722966107972988,0.26649914192596613,0.2782201988188514,0.0
15,depth,0.7297699100698736,0.8011073722085328,Viewpoint Locomotion,0.6666666865348816,0.3333333134651184,weighted,0.8179419525065963,0.26257452468186726,0.21477071939677797,0.6527304649353027,0.2095385755071405,0.13677221181265686,0.9777458552271128,0.313874538907276,0.30688952947791026,0.21401236090371614,0.07133744938252846
18,depth,0.5135488848741709,0.8301096383074307,Viewpoint Locomotion,1.0,0.0,weighted,0.6225165562913907,0.19706431008428088,0.1226757956816053,0.603242814540863,0.19096299987425577,0.11519705751731253,0.9331919178366661,0.29541193660820364,0.2756760316752532,0.31656075343325973,0.0
21,depth,0.6022015284489651,0.8900894973019914,Viewpoint Locomotion,1.0,0.0,weighted,0.8734835355285961,0.2514654008698877,0.21965088741494523,0.644041895866394,0.18541191325722842,0.11941304013040079,0.9560480006039143,0.2752347170198577,0.2631376009036191,0.28788796885302625,0.0
24,depth,0.6952060442923672,0.7701418790604322,Viewpoint Locomotion,0.6666666865348816,0.3333333134651184,weighted,0.7730870712401056,0.26069362379661326,0.20153887011189364,0.5656470060348511,0.19074250919290275,0.1078929292485405,0.9600997343659401,0.3237563895054287,0.3108384235634379,0.2248074775050553,0.07493582136849515
27,depth,0.5805925912781325,0.8726358159859979,Turn Right,1.0,0.0,weighted,0.8532374100719424,0.24918220467879748,0.21261157895615382,0.6711364388465881,0.19600084981971078,0.13154331235890562,0.8997768089175224,0.26277372079362615,0.23643769996307296,0.29204322470786553,0.0
30,depth,0.5771394914430097,0.871274824716421,Viewpoint Locomotion,1.0,0.0,weighted,0.848297213622291,0.24951418364369876,0.2116621867441903,0.6361523270606995,0.18711487673265498,0.1190335642611544,0.9153460189700127,0.26923560635023497,0.24644374043766504,0.2941353332734113,0.0
33,depth,0.5742381779616679,0.8687678819208958,Viewpoint Locomotion,1.0,0.0,weighted,0.8627450980392157,0.2541040583177653,0.219227030705523,0.6416018605232239,0.18897080603959499,0.12124402073957741,0.8908963277935982,0.2623954316834118,0.23376712651656753,0.29452970395922795,0.0
36,depth,0.560890737860618,0.8615350076517476,Walk,1.0,0.0,weighted,0.7771084337349398,0.2336331976087694,0.18155832826223647,0.5986080765724182,0.17996808807218728,0.10773035104530759,0.9504736103117466,0.28575444452791376,0.2716020585530739,0.3006442697911296,0.0
39,depth,0.6143881929919153,0.8975554398362182,Walk,1.0,0.0,weighted,0.8711395101171459,0.24667817669716702,0.21489110600456082,0.7027970552444458,0.19900910722385323,0.13986301452375022,0.9575453102588654,0.2711454692346768,0.25963407246360426,0.283167246844303,0.0
42,depth,0.6126965847195476,0.8986652505387567,Viewpoint Locomotion,1.0,0.0,weighted,0.8805970149253731,0.2518231534825871,0.2217547172458603,0.633669376373291,0.18120958613196028,0.11482696543710144,0.9826202243566513,0.2809985945662435,0.2761149020365859,0.2859686658192091,0.0
45,depth,0.6223785085250793,0.9040661610625682,Viewpoint Locomotion,1.0,0.0,weighted,0.8713286713286713,0.24544252801518274,0.21386111182301937,0.6957752108573914,0.195991285840195,0.13636587823167295,0.9829274769872427,0.27687853360713316,0.2721515184703869,0.281687652537489,0.0
48,depth,0.6294905473199819,0.9091904836489418,Walk,1.0,0.0,weighted,0.8897136797454931,0.24885285957581907,0.22140779340839045,0.7040851712226868,0.19693257756115035,0.13865730759146758,0.9814611691981554,0.27451462653407066,0.26942544632012394,0.27969993632895995,0.0
51,depth,0.5773692510854666,0.872449488357372,Walk,1.0,0.0,weighted,0.7269503546099291,0.21450868312319368,0.15593716326331455,0.6774506568908691,0.19990230057536587,0.13542394483877757,0.9845077451318502,0.290508779029535,0.2860081429833744,0.29508023727190547,0.0
54,depth,0.5754063461154924,0.8713369677568281,Walk,1.0,0.0,weighted,0.7736842105263158,0.2289568493751387,0.17714029925339678,0.6339001655578613,0.18759047005208354,0.11891363002309278,0.9715860337018967,0.28752205893144206,0.2793524168390028,0.2959306216413357,0.0
57,depth,0.5618471296312118,0.8639741715216596,Left,1.0,0.0,weighted,0.7659574468085106,0.2314164576182153,0.1772551590267181,0.5705576539039612,0.17238089620195768,0.09835323971485123,0.9733508210629225,0.2940756042893793,0.2862387308896424,0.30212704189044776,0.0
60,depth,0.5946857175094296,0.8838964843987236,Viewpoint Locomotion,1.0,0.0,weighted,0.8197879858657244,0.23709151207885595,0.1943647731529844,0.6726115942001343,0.1945265149772515,0.13084078935304544,0.9652863517403603,0.27917120605459844,0.2694801550033997,0.2892107668892941,0.0
63,depth,0.568379229669977,0.8653560769632752,Turn Left,1.0,0.0,weighted,0.7588424437299035,0.2253586365312488,0.17101169846101194,0.6549984812736511,0.19451938395054735,0.12740990106589475,0.9534249380230904,0.2831451322249056,0.26995763014307034,0.2969768472932982,0.0
66,depth,0.6371840019324366,0.9140997726184741,Viewpoint Locomotion,1.0,0.0,weighted,0.8926315789473684,0.24718376162290498,0.2206440314276036,0.7421078085899353,0.20550135574780828,0.15250416077626672,0.9764670003205538,0.2703991119432493,0.2640358097285663,0.2769157706860374,0.0
69,depth,0.603565045753899,0.8894742452581057,Viewpoint Locomotion,1.0,0.0,weighted,0.8068459657701712,0.23068468419654825,0.18612700680895092,0.72151118516922,0.20628668538506317,0.14883815085680693,0.9692567829042673,0.2771194309141818,0.2685998880881412,0.28590919950420673,0.0
72,depth,0.47367105805003074,0.8045173225160559,Viewpoint Locomotion,1.0,0.0,weighted,0.5284552845528455,0.17483745683163932,0.0923937780004598,0.6123856902122498,0.20260551801917134,0.12407271999298065,0.881710909307003,0.29171076068316426,0.2572045600565903,0.33084626446602516,0.0
75,depth,0.5953633059049471,0.8838259426332827,Turn Right,1.0,0.0,weighted,0.8668171557562077,0.250044362310792,0.21674274295111542,0.671839714050293,0.19380065537375854,0.13020297688906532,0.9279965981841087,0.2676923455871138,0.2484175860647664,0.2884626367283356,0.0
78,depth,0.5316752182913276,0.841821380927096,Turn Right,1.0,0.0,weighted,0.723404255319149,0.22436105382161972,0.16230374106244833,0.5706688761711121,0.1769907620801369,0.1010031192889404,0.9302130937576294,0.288502021462475,0.26836835793993885,0.3101461626357684,0.0
81,depth,0.5970561343721779,0.8855538993986452,Viewpoint Locomotion,1.0,0.0,weighted,0.8661311914323963,0.2498769129479576,0.21642618832306368,0.6600658297538757,0.1904275166543338,0.12569469678841283,0.9400343373417854,0.2711978053712413,0.25493524926070127,0.2884977650264673,0.0
84,depth,0.5032417367824087,0.8245011904995319,Viewpoint Locomotion,1.0,0.0,weighted,0.6881188118811881,0.2210646735974263,0.15211876054476361,0.5146129131317139,0.16532426334847172,0.08507800077311166,0.9100171402096748,0.2923516093369788,0.2660449754645335,0.3212594537171231,0.0
87,depth,0.5716189162665023,0.8689054088280784,Walk,1.0,0.0,weighted,0.7960339943342776,0.23665015413541896,0.18838156745624002,0.6103144884109497,0.18143825361920396,0.1107343949357806,0.9574101306498051,0.28462509968380095,0.27250295387448165,0.29728649256157613,0.0
90,depth,0.5564904225623764,0.8592570080446389,Walk,1.0,0.0,weighted,0.7804878048780488,0.2363056276934732,0.18443366063880837,0.5740752816200256,0.17381081282586341,0.09978049132161311,0.9483112990856171,0.2871169739984009,0.2722762706019549,0.30276658548226254,0.0
93,depth,0.5070559657779382,0.8277536352602579,Viewpoint Locomotion,1.0,0.0,weighted,0.6510638297872341,0.20879465289699967,0.13593864635421682,0.5323576331138611,0.17072585227073903,0.09088721062619734,0.9347801804542542,0.2997818253499416,0.2802301087975241,0.3206976694823197,0.0
96,depth,0.6073509645802135,0.8952488879065622,Viewpoint Locomotion,1.0,0.0,weighted,0.8941605839416058,0.25742697523706354,0.23018105450029402,0.6121649742126465,0.1762410248089487,0.10788858240738047,0.9671277701854706,0.27843407662763914,0.2692813276725391,0.28789792332634867,0.0
99,depth,0.5443758738829008,0.8573315168914211,Walk,1.0,0.0,weighted,0.7969432314410481,0.24940788143692116,0.19876392297920573,0.44761404395103455,0.14008334094434005,0.06270327073026759,0.950783733278513,0.29755313461021843,0.2829086801734274,0.31295564300852025,0.0
102,depth,0.5256583357832163,0.8431871875905061,Walk,1.0,0.0,weighted,0.7509578544061303,0.23845078526524446,0.17906649008424488,0.46062278747558594,0.1462610248233961,0.06737116095318858,0.937739472836256,0.2977593381040696,0.27922068474578277,0.3175288518072898,0.0
105,depth,0.6177101900066102,0.9004199458855072,Walk,1.0,0.0,weighted,0.8661764705882353,0.24487653854804461,0.21210629588940924,0.6966819167137146,0.1969587745993763,0.13721761660147797,0.9743382576853037,0.27545493097368207,0.26838627751572297,0.282709755878897,0.0
108,depth,0.578829670832069,0.8762246011706648,Right,1.0,0.0,weighted,0.8136094674556213,0.24196333089678648,0.19686365679472273,0.5685580372810364,0.16908627789064254,0.09613536228865961,0.9803645964711905,0.2915554608739752,0.28583065174868666,0.29739493033859576,0.0
111,depth,0.5716454035732469,0.8685999814517145,Turn Left,1.0,0.0,weighted,0.7465940054495913,0.22170450773487768,0.16552325645601224,0.6462582349777222,0.19190934136829296,0.12402299222841016,0.9746661428362131,0.2894315730183618,0.2820991548888245,0.2969545778784675,0.0
114,depth,0.5785778843699958,0.8732343213742095,Turn Left,1.0,0.0,weighted,0.7950310559006211,0.2342610182393749,0.18624478468720487,0.6358376741409302,0.18735366357541278,0.11912651768957278,0.9629142470657825,0.28372888118099865,0.2732065819932182,0.29465643700421373,0.0
117,depth,0.5465336391248403,0.8518261391973319,Viewpoint Locomotion,1.0,0.0,weighted,0.6979591836734694,0.21308170413222882,0.14872233227188217,0.6175373196601868,0.18852951220712383,0.11642400964522971,0.9600507169961929,0.2930962835881558,0.2813872972077285,0.3052925000724916,0.0
