frame_index,estimator,unified_memory_score,evidence_confidence,intent_state,intent_confidence,intent_score,mode,appearance_score,appearance_weight,appearance_contribution,semantic_score,semantic_weight,semantic_contribution,geometry_score,geometry_weight,geometry_contribution,intent_weight,intent_contribution
9,depth,0.6568874804158453,0.9287349002342673,Viewpoint Locomotion,1.0,0.0,weighted,0.9246031746031746,0.25135098737179495,0.2323999208636041,0.7689026594161987,0.20902420405381653,0.1607192663793337,0.9850282520055771,0.26777738875596646,0.2637682931729075,0.271847419818422,0.0
12,depth,0.6272832838757177,0.9071909042801309,Turn Left,1.0,0.0,weighted,0.8779697624190065,0.24575042698573213,0.21576144399503264,0.7163459062576294,0.20051067800701589,0.14363500335126753,0.9782916028052568,0.2738312746028388,0.2678868365294176,0.2799076204044132,0.0
15,depth,0.7305973397213024,0.8018909801178431,Viewpoint Locomotion,0.6666666865348816,0.3333333134651184,weighted,0.8221649484536082,0.26376805551310983,0.21686084976464443,0.6503332257270813,0.2086407730081913,0.13568602692860882,0.9778348337858915,0.31371027578566635,0.30675683537980325,0.21388089569303254,0.07129362764824591
18,depth,0.5092840195062938,0.8277856177393424,Viewpoint Locomotion,1.0,0.0,weighted,0.6,0.1911009589398292,0.11466057536389751,0.6060532927513123,0.1930289423556947,0.11698582611097202,0.9336483776569366,0.2973685004714274,0.27763761803142417,0.3185015982330487,0.0
21,depth,0.597779201977197,0.8868073304940115,Viewpoint Locomotion,1.0,0.0,weighted,0.8600682593856656,0.2485839194069531,0.21379913887560473,0.6436367034912109,0.18602911185479654,0.11973516430761899,0.95616589859128,0.2763588402214359,0.2642448987939732,0.2890281285168145,0.0
24,depth,0.6902773640479849,0.7656574585331364,Viewpoint Locomotion,0.6666666865348816,0.3333333134651184,weighted,0.7553191489361702,0.2562120914810597,0.19352189888463023,0.5657503008842468,0.191908371513882,0.10857221892618456,0.9602869041264057,0.3257392805076231,0.3128031652310282,0.22614025649743527,0.07538008100614187
27,depth,0.5840893889332965,0.8751811177648596,Turn Right,1.0,0.0,weighted,0.8631123919308358,0.2512448783430926,0.21685256790707852,0.6729128956794739,0.1958793781563913,0.13180975955911195,0.8993179425597191,0.26178401466895296,0.2354270614671061,0.2910917288315631,0.0
30,depth,0.5579568001463584,0.8574105821262298,Viewpoint Locomotion,1.0,0.0,weighted,0.7882534775888718,0.23604548502277345,0.18606367443835312,0.6361952424049377,0.19051107141575965,0.12120223726017362,0.9149647727608681,0.27398966158159554,0.2506908884478317,0.2994537819798714,0.0
33,depth,0.5626873441759742,0.8602761703098032,Viewpoint Locomotion,1.0,0.0,weighted,0.8283485045513654,0.24650725909915358,0.20419391943583984,0.6411777138710022,0.19080732321404364,0.12234140328822592,0.8908150047063828,0.2650965915529738,0.23615202145190842,0.29758882613382903,0.0
36,depth,0.550992713442784,0.8557755700666032,Walk,1.0,0.0,weighted,0.7638036809815951,0.23279426778935886,0.17780911864892748,0.5669791102409363,0.17280551286526388,0.09797711592907599,0.950241643935442,0.2896173627215581,0.27520647886478056,0.3047828566238192,0.0
39,depth,0.6107843315286883,0.8948852753492508,Walk,1.0,0.0,weighted,0.8598726114649682,0.2442906204826493,0.2100588137908131,0.7021365165710449,0.19947764704871587,0.14006054023257375,0.9578665420413017,0.27213078864807233,0.2606649775053014,0.2841009438205625,0.0
42,depth,0.612633751686197,0.8988003017352657,Viewpoint Locomotion,1.0,0.0,weighted,0.8835098335854765,0.25283096101158253,0.22337864028859938,0.6284965872764587,0.17985470009851753,0.11303806521754924,0.9824620969593525,0.2811477888408314,0.2762170461800485,0.2861665500490686,0.0
45,depth,0.6404639888923912,0.9177652600427599,Viewpoint Locomotion,1.0,0.0,weighted,0.9253112033195021,0.25658997289017527,0.23742557657472652,0.6976767182350159,0.19346664081858758,0.13497717105426474,0.9831982161849737,0.2726421151408683,0.2680612412633999,0.2773012711503688,0.0
48,depth,0.6143366603303515,0.897860901279361,Walk,1.0,0.0,weighted,0.8401682439537329,0.23820806363644434,0.2001348505210505,0.7053317427635193,0.19997864698426882,0.14105128759290492,0.9815352912992239,0.27828904843027735,0.27315052221639613,0.28352424094900947,0.0
51,depth,0.5912344013957156,0.8818930626520295,Walk,1.0,0.0,weighted,0.7773722627737226,0.22594998119560167,0.17564724815570495,0.6784460544586182,0.1971962219235702,0.13378699871819225,0.9846434108912945,0.28619513562451426,0.28180015452181834,0.2906586612563139,0.0
54,depth,0.5853704084265055,0.8784147275148927,Walk,1.0,0.0,weighted,0.8082901554404145,0.23686483822688292,0.19145551690877582,0.6324543952941895,0.18533716762344343,0.11721730627482274,0.9717085659503937,0.28475367506128635,0.27669758524290694,0.29304431908838724,0.0
57,depth,0.5564487477661535,0.8593797775000195,Left,1.0,0.0,weighted,0.7157894736842105,0.21683484233581987,0.1552080976719553,0.6083191633224487,0.1842787505521132,0.11210029535396775,0.9769728034734726,0.29595537737820093,0.28914035474023053,0.302931029733866,0.0
60,depth,0.5946360486467779,0.8838441817010629,Viewpoint Locomotion,1.0,0.0,weighted,0.8185053380782918,0.23671840072058925,0.19375527461115846,0.6736192107200623,0.1948161543218503,0.13123190410980265,0.965592872351408,0.27925731190327535,0.2696488699258167,0.2892081330542851,0.0
63,depth,0.583736485809635,0.876869785984381,Turn Left,1.0,0.0,weighted,0.7841726618705036,0.22986712028091597,0.1802555115871931,0.651635468006134,0.19101605524755322,0.12447283655792489,0.9756091311573982,0.2859835242967848,0.27900813766451693,0.29313330017474604,0.0
66,depth,0.5491081873099652,0.8537487148364572,Viewpoint Locomotion,1.0,0.0,weighted,0.6790697674418604,0.20687217218078055,0.14048063785299517,0.6347749829292297,0.19337818566018045,0.12275163450132646,0.9687125906348228,0.2951091146325471,0.2858759149556436,0.30464052752649196,0.0
69,depth,0.6443966063678466,0.9184569987059445,Viewpoint Locomotion,1.0,0.0,weighted,0.9014202172096909,0.2470435783899814,0.22269007609255634,0.7962007522583008,0.21820709054379867,0.17373664963906765,0.9512098282575607,0.2606889387281219,0.24796988063622258,0.274060392338098,0.0
72,depth,0.514755590981332,0.8257403773757696,Viewpoint Locomotion,1.0,0.0,weighted,0.7597173144876325,0.23626052676609216,0.17949121291416895,0.632311224937439,0.19663917122197463,0.12433715522604957,0.8235628455877304,0.25611551561749557,0.21092722284111345,0.3109847863944376,0.0
75,depth,0.5784725702882098,0.8721778432589135,Turn Right,1.0,0.0,weighted,0.8175355450236966,0.24011450041443783,0.19630213896441007,0.6494988203048706,0.19076122831179204,0.12389919274841701,0.937739372253418,0.27541899830306643,0.2582712385753827,0.2937052729707037,0.0
78,depth,0.49951806503890084,0.8237163117159201,Turn Right,1.0,0.0,weighted,0.631578947368421,0.20475678737495953,0.12932007623681654,0.5186898112297058,0.16815832736990474,0.08722201108019896,0.9342636540532112,0.3028866385781164,0.2829759777218853,0.3241982466770193,0.0
81,depth,0.5946948461478175,0.8845308969745587,Viewpoint Locomotion,1.0,0.0,weighted,0.8485237483953787,0.24593277226761992,0.2086797977777879,0.6441452503204346,0.1866965155116774,0.12025967371822234,0.9575574211776257,0.2775346613939615,0.2657553746518073,0.2898360508267412,0.0
84,depth,0.5263629939974461,0.8423573652824656,Viewpoint Locomotion,1.0,0.0,weighted,0.658008658008658,0.20792703218754532,0.13681778741344974,0.5321336984634399,0.16815125348552687,0.08947894841851681,0.9744709748774767,0.30792734304190833,0.3000662581654796,0.3159943712850195,0.0
87,depth,0.5709018050497201,0.8688326378015387,Walk,1.0,0.0,weighted,0.8213399503722084,0.24470249538672947,0.20098393541689194,0.5896813869476318,0.17568426667155537,0.10359774203576039,0.945462416857481,0.28168240518989646,0.26632012759706775,0.2979308327518187,0.0
90,depth,0.5506647324684547,0.8545981343521529,Walk,1.0,0.0,weighted,0.7859327217125383,0.23887120576180565,0.18773669688313166,0.5750685930252075,0.1747825537946233,0.10051195729602666,0.9291931614279747,0.2824128385598727,0.26241607828929636,0.3039334018836982,0.0
93,depth,0.5391302473891347,0.8470380858586254,Viewpoint Locomotion,1.0,0.0,weighted,0.728110599078341,0.2241909607289379,0.1632358147242958,0.5778900384902954,0.17793687262459762,0.10282794616987151,0.9417244121432304,0.2899643281769739,0.27306648649496745,0.30790783846949066,0.0
96,depth,0.6040463987885686,0.8898522637377149,Viewpoint Locomotion,1.0,0.0,weighted,0.8451219512195122,0.24154081025580287,0.20413144086252608,0.7007861137390137,0.2002887813815296,0.14035959672988504,0.9529704488813877,0.2723645434135212,0.25955536119615746,0.2858058649491463,0.0
99,depth,0.5656379106748772,0.86542148992294,Walk,1.0,0.0,weighted,0.8651685393258427,0.25936332137191953,0.22439298590604273,0.5664448142051697,0.1698108538489297,0.0961884775584782,0.9041263908147812,0.27104224553108797,0.24505644721035633,0.2997835792480628,0.0
102,depth,0.5352395200319688,0.8427595886621796,Walk,1.0,0.0,weighted,0.7835051546391752,0.24094355892676303,0.1887805203962267,0.5781964659690857,0.17780701689655853,0.10280738879409565,0.8901186734437943,0.2737293555464677,0.24365161084164655,0.30752006863021075,0.0
105,depth,0.5106376161074425,0.8274071534498182,Walk,1.0,0.0,weighted,0.7281553398058253,0.23065743010367165,0.16795443939587743,0.5394365191459656,0.17087705659544913,0.09217732461175723,0.8892773538827896,0.28169597595850343,0.25050585209980786,0.31676953734237573,0.0
108,depth,0.47053283489392045,0.8076339092545387,Right,1.0,0.0,weighted,0.5804195804195804,0.19566006413937984,0.11356493233264704,0.4712509214878082,0.1588591919269715,0.07486254058239392,0.9147988334298134,0.30837966957303037,0.2821053619788795,0.33710107436061826,0.0
111,depth,0.4788058726541736,0.811759404599367,Turn Left,1.0,0.0,weighted,0.5391304347826087,0.1795053824400173,0.09677681488070497,0.5380846858024597,0.17915719662354862,0.09640174385443166,0.9262069910764694,0.3083838889912407,0.285627313919037,0.3329535319451934,0.0
114,depth,0.44252959366347105,0.795075347509421,Turn Left,1.0,0.0,weighted,0.4074074074074074,0.14362975156686852,0.058515824712427916,0.5300384163856506,0.18686279307199274,0.09904445892127857,0.8990654349327087,0.3169617015151887,0.28496931002976456,0.35254575384595,0.0
