frame_index,memory_state,decision,policy,transition,unified_memory_score,geometry_confidence,intent_state,delete_frame,memory_size
9,KEEP,physmem_keep,physmem_rule,selection_hybrid_locomotion|insert_hysteresis_enter=0.35|mode=Viewpoint Locomotion|view=Novel View|selection=hybrid_locomotion|trajectory=Starting:right|prev=KEEP,0.654743795960387,0.9849736634641886,Viewpoint Locomotion,3,9
12,KEEP,physmem_keep,physmem_rule,action_mode_view_rotation_protect|mode=View Rotation Only|view=View Transition|selection=protect_current|trajectory=Idle:none|prev=KEEP,0.6374182226694904,0.978451993316412,Turn Left,6,9
15,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|mode=Viewpoint Locomotion|view=Known View|selection=current_window|trajectory=Starting:left|prev=KEEP,0.7498709720424426,0.9777678437530994,Viewpoint Locomotion,9,9
18,INSERT,physmem_insert,physmem_rule,pose_lateral_motion_preserve_progression|mode=Viewpoint Locomotion|view=Known View|selection=current_window|trajectory=Starting:right|prev=KEEP,0.508621956627328,0.9336422756314278,Viewpoint Locomotion,1,9
21,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|mode=Viewpoint Locomotion|view=Known View|selection=current_window|trajectory=Starting:left|prev=INSERT,0.5906657804585057,0.9560916088521481,Viewpoint Locomotion,14,9
24,KEEP,physmem_keep,physmem_rule,view_revisit_retrieve_memory|mode=Viewpoint Locomotion|view=Revisit|selection=current_window|trajectory=Starting:right|prev=KEEP,0.6877590132581018,0.9752921257168055,Viewpoint Locomotion,17,9
27,KEEP,physmem_keep,physmem_rule,action_mode_view_rotation_protect|mode=View Rotation Only|view=View Transition|selection=protect_current|trajectory=Idle:none|prev=KEEP,0.5267042713567593,0.9697453211992979,Turn Right,20,9
30,KEEP,physmem_keep,physmem_rule,view_revisit_retrieve_memory|mode=Viewpoint Locomotion|view=Revisit|selection=current_window|trajectory=Starting:backward|prev=KEEP,0.570747074705545,0.9713761936873198,Viewpoint Locomotion,23,9
33,INSERT,physmem_insert,physmem_rule,pose_forward_progression_preserve_progression|mode=Viewpoint Locomotion|view=Known View|selection=current_window|trajectory=Starting:forward|prev=KEEP,0.495840236005208,0.9540015496313572,Viewpoint Locomotion,2,9
36,KEEP,physmem_keep,physmem_rule,action_mode_locomotion_orb_keep|mode=Locomotion Only|view=Novel View|selection=orb_locomotion|trajectory=Progressing:forward|prev=INSERT,0.6034411582303626,0.9111622869968414,Walk,28,9
39,KEEP,physmem_keep,physmem_rule,action_mode_locomotion_orb_keep|mode=Locomotion Only|view=Novel View|selection=orb_locomotion|trajectory=Progressing:forward|prev=KEEP,0.5888534402381482,0.9639297425746918,Walk,31,9
42,INSERT,physmem_insert,physmem_rule,trajectory_forward_progress|trajectory_progress_bypasses_insert_hysteresis|mode=Viewpoint Locomotion|view=Novel View|selection=hybrid_locomotion|trajectory=Progressing:forward|prev=KEEP,0.5499374473918678,0.9003983587026596,Viewpoint Locomotion,0,9
45,INSERT,physmem_insert,physmem_rule,trajectory_forward_progress|trajectory_progress_bypasses_insert_hysteresis|mode=Viewpoint Locomotion|view=Novel View|selection=hybrid_locomotion|trajectory=Progressing:forward|prev=INSERT,0.6370649335066937,0.9871321441605687,Viewpoint Locomotion,34,9
48,KEEP,physmem_keep,physmem_rule,action_mode_locomotion_orb_keep|mode=Locomotion Only|view=Novel View|selection=orb_locomotion|trajectory=Progressing:forward|prev=INSERT,0.653396535836737,0.9709275290369987,Walk,40,9
51,KEEP,physmem_keep,physmem_rule,action_mode_locomotion_orb_keep|mode=Locomotion Only|view=Novel View|selection=orb_locomotion|trajectory=Progressing:forward|prev=KEEP,0.5798488781719768,0.9546846225857735,Walk,43,9
54,KEEP,physmem_keep,physmem_rule,action_mode_locomotion_orb_keep|mode=Locomotion Only|view=Novel View|selection=orb_locomotion|trajectory=Progressing:forward|prev=KEEP,0.6000547865291692,0.9741798732429743,Walk,46,9
57,KEEP,physmem_keep,physmem_rule,action_mode_locomotion_orb_keep|mode=Locomotion Only|view=Known View|selection=orb_locomotion|trajectory=Starting:left|prev=KEEP,0.5990913158156422,0.9755154103040695,Left,49,9
60,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|mode=Viewpoint Locomotion|view=Known View|selection=current_window|trajectory=Starting:right|prev=KEEP,0.5995624847416209,0.965979091823101,Viewpoint Locomotion,52,9
63,KEEP,physmem_keep,physmem_rule,action_mode_view_rotation_protect|mode=View Rotation Only|view=View Transition|selection=protect_current|trajectory=Idle:none|prev=KEEP,0.5859453739088091,0.9785999208688736,Turn Left,55,9
66,KEEP,physmem_keep,physmem_rule,proposal_keep_validated|mode=Viewpoint Locomotion|view=Known View|selection=current_window|trajectory=Starting:left|prev=KEEP,0.5881871000417622,0.9794825632125139,Viewpoint Locomotion,58,9
69,KEEP,physmem_keep,physmem_rule,view_revisit_retrieve_memory|mode=Viewpoint Locomotion|view=Revisit|selection=current_window|trajectory=Starting:right|prev=KEEP,0.5142250671427004,0.9641487412154675,Viewpoint Locomotion,61,9
