frame_index,estimator,unified_memory_score,evidence_confidence,intent_state,intent_confidence,intent_score,mode,appearance_score,appearance_weight,appearance_contribution,semantic_score,semantic_weight,semantic_contribution,geometry_score,geometry_weight,geometry_contribution,intent_weight,intent_contribution
9,orb,0.6672753352694398,0.7488632361514816,Turn Right,0.598958320915699,0.401041679084301,weighted,0.854,0.587766343814861,0.5019524576178913,0.0,0.0,0.0,0.0,0.0,0.0,0.4122336561851389,0.16532287765154854
12,orb,0.30450856284807354,0.8843207694208435,Turn Right,1.0,0.0,weighted,0.7246963562753036,0.42018779342723,0.30450856284807354,0.0,0.0,0.0,0.0,0.0,0.0,0.5798122065727699,0.0
15,orb,0.7122557580185347,0.7905150595382784,Turn Right,0.598958320915699,0.401041679084301,weighted,0.9157986111111112,0.6045845321768775,0.5536776748668453,0.0,0.0,0.0,0.0,0.0,0.0,0.39541546782312254,0.15857808315168945
18,orb,0.4203483084385523,0.9489643334125377,Walk,1.0,0.0,weighted,0.8917322834645669,0.47138397502601453,0.4203483084385523,0.0,0.0,0.0,0.0,0.0,0.0,0.5286160249739854,0.0
21,orb,0.36676948579045404,0.9173829827229694,Walk,1.0,0.0,weighted,0.8161559888579387,0.4493865030674846,0.36676948579045404,0.0,0.0,0.0,0.0,0.0,0.0,0.5506134969325153,0.0
24,orb,0.3523113592172113,0.9093207050116039,Backward,1.0,0.0,weighted,0.7953020134228188,0.44299065420560746,0.3523113592172113,0.0,0.0,0.0,0.0,0.0,0.0,0.5570093457943925,0.0
27,orb,0.25443978848648113,0.8614436795370648,Backward,1.0,0.0,weighted,0.6474358974358975,0.3929961089494164,0.25443978848648113,0.0,0.0,0.0,0.0,0.0,0.0,0.6070038910505837,0.0
30,orb,0.4894640585318988,0.9356754567138623,Viewpoint Locomotion,0.9428090696799624,0.057190930320037636,weighted,0.9284313725490196,0.4961582443371584,0.4606488797914598,0.0,0.0,0.0,0.0,0.0,0.0,0.5038417556628415,0.028815178740438995
33,orb,0.3628893470967243,0.9151984894152918,Viewpoint Locomotion,1.0,0.0,weighted,0.810580204778157,0.4476908576814326,0.3628893470967243,0.0,0.0,0.0,0.0,0.0,0.0,0.5523091423185674,0.0
36,orb,0.3532959420536441,0.9098629121446714,Viewpoint Locomotion,1.0,0.0,weighted,0.7967289719626168,0.44343302990897265,0.3532959420536441,0.0,0.0,0.0,0.0,0.0,0.0,0.5565669700910273,0.0
39,orb,0.3624907914898633,0.7099278789486092,Turn Right,0.80078125,0.19921875,weighted,0.5857142857142857,0.42244224422442245,0.24743045733144745,0.0,0.0,0.0,0.0,0.0,0.0,0.5775577557755776,0.11506033415841584
42,orb,0.39101443245321904,0.9313594519301249,Walk,1.0,0.0,weighted,0.850669412976313,0.45965498052309406,0.39101443245321904,0.0,0.0,0.0,0.0,0.0,0.0,0.5403450194769059,0.0
