frame_index,reference_frame,middle_frame,current_frame,similarity,delete_frame,delete_range,memory_size,matching_points,orb_runtime_ms,lightglue_runtime_ms,runtime_ms,confidence,semantic_similarity,final_similarity,spatial_alpha,average_displacement,median_displacement,maximum_displacement,depth_runtime_ms,geometry_similarity,depth_difference,depth_metric,depth_cache_hit_reference,depth_cache_hit_current,memory_state,policy,transition,unified_memory_score,geometry_confidence,intent_state,estimator,decision,window_before,window_after,pose_x,pose_z,pose_yaw,pose_pitch,delta_x,delta_z,local_delta_x,local_delta_z,delta_yaw,delta_pitch,movement_magnitude,rotation_magnitude,pose_confidence,pose_delta_position,view_state,view_confidence,view_pose_distance,view_yaw_delta,nearest_view_frame_id,key_anchor_frame_id,key_anchor_type,key_anchor_reason,memory_selection_mode,memory_selection_target,memory_selection_anchor_type,memory_selection_reason,trajectory_motion_state,trajectory_direction,trajectory_frames,trajectory_distance,trajectory_should_progress,trajectory_confidence,view_intent,move_intent,has_view_motion,has_move_motion,action_explanation,use_pose_memory
39,31,34,38,0.9694118481129408,32,32-33-34,9,225280,0.0,0.0,94.39932368695736,0.9694118481129408,0.9694118481129408,0.9694118481129408,0.0,0.0,0.0,0.0,94.39932368695736,0.9694118481129408,0.03058815188705921,l1,False,False,KEEP,physmem_rule,trajectory_forward_progress|insert_hysteresis_enter=0.35|view=Novel View|selection=create_anchor|trajectory=Progressing:forward|prev=INSERT,0.6320551095784405,0.9694118481129408,Walk,depth,physmem_keep,24 2 31 32 33 34 35 36 37,24 2 31 35 36 37 38 39 40,0.006292609233547686,2.3541262116750987,1.862645149230957e-09,0.0,-0.33333334140479565,1.0000000006208818,-0.3333333432674408,1.0,0.0,0.0,1.0540925565309005,0.0,1.0,1.0540925565309005,Novel View,0.5,1.0540925565309003,0.0,36,,,,create_anchor,,,novel_view,Progressing,forward,3,3.1081851130618006,True,1.0,None,Walk,False,True,locomotion,True
42,31,37,41,0.9464882984757423,2,2-35,9,225280,0.0,0.0,131.9039580412209,0.9464882984757423,0.9464882984757423,0.9464882984757423,0.0,0.0,0.0,0.0,131.9039580412209,0.9464882984757423,0.05351170152425766,l1,True,False,INSERT,physmem_rule,trajectory_forward_progress|view=Novel View|selection=create_anchor|trajectory=Progressing:forward|prev=KEEP,0.4292198357534517,0.9464882984757423,Viewpoint Locomotion,depth,physmem_insert,24 2 31 35 36 37 38 39 40,24 31 36 37 38 39 40 41 42,0.652807514202795,3.3672712894344508,-0.04003906063735485,0.0,0.6465149049692474,1.013145077759352,0.6666666865348816,1.0,-0.0400390625,0.0,1.2018504361755662,0.0400390625,1.0,1.2018504361755662,Novel View,0.5,1.2018504361755662,0.0400390625,38,,,,create_anchor,,,novel_view,Progressing,forward,4,4.310035549237367,True,1.0,Turn Left,Walk,True,True,viewpoint_locomotion,True
45,36,39,43,0.9355314448475838,37,37-38-39,9,225280,0.0,0.0,167.835240252316,0.9355314448475838,0.9355314448475838,0.9355314448475838,0.0,0.0,0.0,0.0,167.835240252316,0.9355314448475838,0.06446855515241623,l1,False,False,KEEP,physmem_rule,trajectory_forward_progress|insert_hysteresis_enter=0.35|view=Novel View|selection=create_anchor|trajectory=Progressing:forward|prev=INSERT,0.5823576092701417,0.9355314448475838,Viewpoint Locomotion,depth,physmem_keep,24 31 36 37 38 39 40 41 42,24 31 36 40 41 42 43 44 45,0.6327893220316694,4.36707090534866,1.862645149230957e-09,0.0,-0.020018192171125698,0.9997996159142091,0.0,1.0,0.0400390625,0.0,1.0,0.0400390625,1.0,1.0,Novel View,0.5,1.0000000000000002,0.0400390625,41,,,,create_anchor,,,novel_view,Progressing,forward,5,5.310035549237367,True,1.0,Turn Right,Walk,True,True,viewpoint_locomotion,True
48,36,42,46,0.9610042199492455,31,31-40,9,225280,0.0,0.0,167.17988532036543,0.9610042199492455,0.9610042199492455,0.9610042199492455,0.0,0.0,0.0,0.0,167.17988532036543,0.9610042199492455,0.03899578005075455,l1,True,False,INSERT,physmem_rule,trajectory_forward_progress|view=Novel View|selection=create_anchor|trajectory=Progressing:forward|prev=KEEP,0.5160961122763047,0.9610042199492455,Walk,depth,physmem_insert,24 31 36 40 41 42 43 44 45,24 36 41 42 43 44 45 46 47,0.6327893238943145,5.36707090534866,1.862645149230957e-09,0.0,1.862645149230957e-09,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,Novel View,0.5,1.0,0.0,43,46,novel_view_anchor,novel_view_insert,create_anchor,,,novel_view,Progressing,forward,6,6.310035549237367,True,1.0,None,Walk,False,True,locomotion,True
51,41,44,48,0.9277975484728813,36,36-42,9,225280,0.0,0.0,235.94561172649264,0.9277975484728813,0.9277975484728813,0.9277975484728813,0.0,0.0,0.0,0.0,235.94561172649264,0.9277975484728813,0.07220245152711868,l1,False,False,INSERT,physmem_rule,trajectory_forward_progress|view=Novel View|selection=create_anchor|trajectory=Progressing:forward|prev=INSERT,0.4792888404706962,0.9277975484728813,Walk,depth,physmem_insert,24 36 41 42 43 44 45 46 47,24 41 43 44 45 46 47 48 49,-0.3672106742430403,6.367070907211305,1.862645149230957e-09,0.0,-0.9999999981373549,1.0000000018626451,-1.0,1.0,0.0,0.0,1.4142135623730951,0.0,1.0,1.4142135623730951,Novel View,0.5,1.4142135623730951,0.0,46,,,,create_anchor,,,novel_view,Progressing,forward,7,7.724249111610462,True,1.0,None,Walk,False,True,locomotion,True
54,43,46,50,0.9359104186296463,41,41-44,9,225280,0.0,0.0,257.11940973997116,0.9359104186296463,0.9359104186296463,0.9359104186296463,0.0,0.0,0.0,0.0,257.11940973997116,0.9359104186296463,0.0640895813703537,l1,False,False,INSERT,physmem_rule,trajectory_forward_progress|view=Novel View|selection=create_anchor|trajectory=Progressing:forward|prev=INSERT,0.5620263721464192,0.9359104186296463,Walk,depth,physmem_insert,24 41 43 44 45 46 47 48 49,24 43 45 46 47 48 49 50 51,0.6327893276196048,7.36707090534866,1.862645149230957e-09,0.0,1.0000000018626451,0.9999999981373549,1.0,1.0,0.0,0.0,1.4142135623730951,0.0,1.0,1.4142135623730951,Novel View,0.5,1.4142135623730951,0.0,48,,,,create_anchor,,,novel_view,Progressing,forward,8,9.138462673983557,True,1.0,None,Walk,False,True,locomotion,True
57,45,48,52,0.9648057259619236,43,43-46,9,225280,0.0,0.0,253.56598990038037,0.9648057259619236,0.9648057259619236,0.9648057259619236,0.0,0.0,0.0,0.0,253.56598990038037,0.9648057259619236,0.0351942740380764,l1,False,False,INSERT,physmem_rule,pose_lateral_motion_preserve_progression|view=Known View|selection=current_window|trajectory=Starting:left|prev=INSERT,0.5645492171484003,0.9648057259619236,Left,depth,physmem_insert,24 43 45 46 47 48 49 50 51,24 45 47 48 49 50 51 52 53,0.29945598435216403,7.367070905969542,1.862645149230957e-09,0.0,-0.3333333432674408,6.208817349140361e-10,-0.3333333432674408,0.0,0.0,0.0,0.3333333432674408,0.0,1.0,0.3333333432674408,Known View,0.8039215627838583,0.3333333432674408,0.0,50,52,forward_anchor,lateral_motion,current_window,,,view_state=Known View,Starting,left,1,0.3333333432674408,False,0.75,None,Left,False,True,lateral_motion,True
60,47,50,54,0.974712485447526,48,48-49-50,9,225280,0.0,0.0,140.14726784080267,0.974712485447526,0.974712485447526,0.974712485447526,0.0,0.0,0.0,0.0,140.14726784080267,0.974712485447526,0.025287514552474022,l1,False,False,KEEP,physmem_rule,selection_reuse_anchor|view=Known View|selection=reuse_anchor|trajectory=Starting:right|prev=INSERT,0.6082943429937318,0.974712485447526,Viewpoint Locomotion,depth,physmem_keep,24 45 47 48 49 50 51 52 53,24 45 47 51 52 53 54 55 56,0.6321915879204952,7.387024247841716,-0.11979166232049465,0.0,0.3327356035683312,0.019953341872174398,0.3333333432674408,0.0,-0.1197916641831398,0.0,0.3333333432674408,0.1197916641831398,1.0,0.3333333432674408,Known View,0.8551556252072205,0.019962293690683336,0.1197916641831398,50,,,,reuse_anchor,52,forward_anchor,known_view_anchor:0.3333:0.1198,Starting,right,1,0.3333333432674408,False,0.75,Turn Left,Right,True,True,viewpoint_locomotion,True
63,47,53,57,0.9609318040311337,51,51-52-53,9,225280,0.0,0.0,193.18049168214202,0.9609318040311337,0.9609318040311337,0.9609318040311337,0.0,0.0,0.0,0.0,193.18049168214202,0.9609318040311337,0.03906819596886635,l1,True,False,KEEP,physmem_rule,selection_protect_current|view=View Transition|selection=protect_current|trajectory=Idle:none|prev=KEEP,0.5834975722114033,0.9609318040311337,Turn Left,depth,physmem_keep,24 45 47 51 52 53 54 55 56,24 45 47 54 55 56 57 58 59,0.6321915879204952,7.387024247841716,-0.29947916232049465,0.0,0.0,0.0,0.0,0.0,-0.1796875,0.0,0.0,0.1796875,1.0,0.0,View Transition,0.5989583333333334,0.0,0.1796875,54,,,,protect_current,,,view_transition,Idle,none,0,0.0,False,0.0,Turn Left,None,True,False,viewpoint_change,True
66,47,56,60,0.9785962719470263,54,54-55-56,9,225280,0.0,0.0,139.26740223541856,0.9785962719470263,0.9785962719470263,0.9785962719470263,0.0,0.0,0.0,0.0,139.26740223541856,0.9785962719470263,0.021403728052973747,l1,True,False,KEEP,physmem_rule,selection_retrieve_anchor|view=Revisit|selection=retrieve_anchor|trajectory=Starting:left|prev=KEEP,0.602743941121959,0.9785962719470263,Viewpoint Locomotion,depth,physmem_keep,24 45 47 54 55 56 57 58 59,52 45 47 57 58 59 60 61 62,-0.010405645784525741,7.209504485082601,-0.23958333022892475,0.0,-0.642597233705021,-0.17751976275911557,-0.6666666865348816,0.0,0.0598958320915699,0.0,0.6666666865348816,0.0598958320915699,1.0,0.6666666865348816,Revisit,0.4259897595402765,0.3476225062076498,0.2395833320915699,52,60,revisit_anchor,pose_revisit,retrieve_anchor,52,forward_anchor,revisit_nearest_anchor:0.3476,Starting,left,1,0.6666666865348816,False,0.75,Turn Right,Left,True,True,viewpoint_locomotion,True
